['126', '222', '232', '236', '253', '436', '494', '497', '150', '227']
['496', '427', '239', '296', '322', '370', '481', '10', '31', '149']
['261', '347', '350', '499', '11', '52', '108', '147', '219', '372']
['168', '182', '381', '440', '450', '17', '44', '62', '65', '70']
['105', '110', '146', '187', '203', '269', '272', '282', '311', '377']
['290', '363', '382', '404', '415', '426', '456', '76', '154', '211']
['109', '467', '463', '66', '95', '173', '289', '292', '314', '324']
['294', '487', '258', '330', '369', '413', '40', '113', '155', '251']
['374', '356', '418', '429', '493', '98', '164', '174', '175', '237']
['138', '399', '451', '470', '4', '29', '112', '176', '195', '216']
['170', '223', '229', '257', '286', '342', '358', '378', '387', '405']
['205', '421', '476', '478', '3', '43', '101', '103', '104', '120']
['129', '423', '468', '26', '97', '214', '244', '245', '316', '344']
['268', '193', '199', '213', '291', '298', '302', '303', '305', '309']
['315', '367', '279', '355', '383', '392', '411', '420', '453', '459']
['78', '412', '416', '490', '9', '14', '19', '27', '41', '48']
['93', '312', '317', '346', '371', '441', '442', '444', '461', '464']
['75', '380', '403', '64', '116', '133', '167', '189', '225', '300']
['265', '12', '42', '74', '83', '84', '90', '99', '111', '134']
['283', '218', '242', '273', '318', '407', '446', '484', '498', '20']
['390', '63', '119', '179', '241', '247', '270', '281', '295', '357']
['489', '159', '22', '124', '160', '184', '209', '235', '255', '264']
['46', '45', '389', '417', '431', '452', '457', '465', '18', '21']
['121', '115', '122', '171', '207', '275', '297', '326', '341', '373']
['306', '8', '24', '36', '38', '180', '198', '238', '276', '299']
['28', '424', '136', '301', '319', '325', '361', '366', '482', '6']
['92', '60', '118', '161', '162', '204', '278', '284', '287', '288']
['114', '329', '354', '67', '100', '140', '172', '224', '233', '243']
['221', '362', '368', '388', '396', '473', '495', '500', '49', '57']
['308', '106', '274', '293', '365', '425', '433', '475', '483', '1']
['142', '7', '39', '79', '192', '220', '304', '384', '398', '430']
['190', '58', '185', '458', '2', '30', '72', '86', '141', '178']
['53', '201', '249', '285', '313', '345', '349', '351', '401', '434']
['88', '102', '177', '228', '231', '352', '359', '386', '422', '472']
['151', '340', '447', '486', '50', '56', '85', '96', '191', '217']
['166', '448', '80', '127', '474', '492', '23', '37', '71', '165']
['194', '469', '169', '353', '360', '376', '395', '409', '432', '443']
['230', '34', '321', '333', '339', '406', '5', '13', '206', '234']
['338', '331', '259', '266', '271', '277', '328', '393', '437', '449']
['397', '479', '15', '47', '77', '131', '135', '148', '181', '183']
['408', '188', '226', '250', '280', '379', '394', '414', '477', '480']
['32', '132', '145', '152', '202', '254', '400', '438', '455', '485']
['51', '248', '81', '123', '139', '215', '323', '327', '364', '94']
['125', '16', '69', '89', '144', '153', '212', '263', '385', '419']
['197', '54', '59', '445', '460', '462', '466', '35', '55', '68']
['200', '256', '320', '343', '410', '25', '61', '73', '107', '117']
['332', '240', '130', '158', '435', '87', '210', '246', '260', '471']
['402', '488', '128', '163', '454', '337', '91', '208', '262', '310']
['33', '335', '439', '336', '391', '428', '252', '348', '375', '186']
['137', '307', '143', '267', '334', '196', '82', '491', '157', '156']
