['328', '148', '109', '291', '42', '264', '47', '186', '71', '374']
['9', '285', '462', '259', '129', '469', '375', '147', '35', '439']
['24', '451', '7', '246', '458', '493', '377', '442', '217', '287']
['244', '303', '185', '171', '315', '339', '424', '485', '293', '278']
['362', '158', '296', '139', '132', '423', '135', '77', '415', '201']
['182', '237', '335', '314', '490', '92', '189', '396', '33', '102']
['210', '492', '51', '365', '350', '183', '143', '363', '104', '23']
['44', '489', '344', '332', '475', '142', '261', '64', '250', '279']
['22', '260', '354', '204', '345', '191', '194', '361', '313', '74']
['223', '308', '297', '331', '359', '385', '289', '383', '433', '284']
['369', '418', '334', '130', '488', '18', '49', '477', '242', '239']
['394', '154', '17', '161', '113', '255', '45', '445', '447', '173']
['321', '294', '101', '305', '337', '125', '323', '124', '470', '85']
['212', '88', '384', '111', '195', '3', '112', '32', '243', '149']
['157', '93', '202', '89', '80', '86', '160', '128', '252', '495']
['84', '427', '269', '116', '391', '371', '197', '327', '322', '307']
['428', '168', '208', '348', '60', '122', '453', '63', '29', '368']
['386', '203', '395', '446', '498', '342', '317', '232', '481', '357']
['425', '98', '163', '66', '253', '360', '188', '333', '30', '54']
['448', '235', '241', '352', '247', '206', '140', '249', '213', '79']
['16', '413', '248', '172', '176', '397', '494', '187', '340', '349']
['393', '455', '441', '225', '82', '118', '281', '55', '302', '472']
['26', '10', '367', '440', '137', '94', '87', '83', '409', '414']
['73', '372', '429', '473', '417', '457', '300', '177', '228', '193']
['110', '41', '346', '496', '57', '408', '316', '353', '405', '263']
['56', '6', '437', '273', '156', '236', '11', '343', '65', '272']
['463', '108', '435', '254', '5', '27', '75', '230', '78', '222']
['283', '324', '107', '145', '76', '159', '366', '123', '286', '290']
['267', '99', '38', '50', '231', '464', '304', '70', '144', '319']
['280', '21', '275', '312', '25', '2', '115', '480', '421', '341']
['486', '175', '347', '200', '31', '146', '1', '404', '306', '14']
['133', '120', '127', '318', '151', '72', '238', '181', '114', '450']
['214', '432', '100', '309', '376', '155', '234', '276', '431', '184']
['96', '373', '430', '449', '387', '103', '355', '138', '196', '392']
['240', '410', '67', '364', '468', '378', '292', '121', '198', '61']
['411', '226', '119', '179', '325', '95', '97', '483', '48', '218']
['69', '443', '426', '166', '454', '412', '380', '419', '320', '465']
['466', '257', '207', '211', '81', '459', '476', '141', '288', '356']
['274', '497', '438', '233', '381', '8', '398', '190', '436', '43']
['452', '407', '270', '311', '152', '402', '379', '265', '478', '15']
['105', '46', '467', '456', '134', '390', '245', '474', '52', '68']
['268', '90', '62', '224', '330', '471', '406', '19', '28', '53']
['34', '170', '220', '298', '180', '131', '215', '460', '37', '227']
['487', '162', '399', '484', '271', '444', '499', '192', '491', '169']
['229', '310', '256', '416', '389', '12', '403', '479', '434', '0']
['167', '282', '400', '382', '205', '329', '338', '326', '351', '258']
['358', '40', '36', '117', '136', '420', '219', '150', '165', '106']
['20', '91', '461', '164', '153', '216', '251', '178', '370', '482']
['401', '422', '299', '209', '126', '295', '277', '13', '199', '4']
['336', '266', '59', '221', '39', '301', '174', '388', '58', '262']
