['281', '0', '43', '95', '24', '142', '314', '241', '304', '341', '412', '491', '58', '209', '242', '305', '432', '488', '497', '32', '50', '87', '124', '246', '280']
['18', '438', '81', '102', '210', '364', '408', '55', '156', '177', '310', '384', '45', '62', '104', '113', '116', '148', '183', '237', '273', '455', '464', '477', '8']
['63', '56', '352', '392', '405', '422', '430', '440', '456', '39', '46', '83', '120', '143', '161', '240', '250', '271', '292', '357', '361', '365', '418', '426', '480']
['235', '15', '222', '255', '278', '297', '301', '318', '326', '354', '376', '463', '466', '492', '1', '11', '35', '68', '97', '114', '145', '204', '339', '391', '77']
['331', '283', '165', '130', '207', '279', '307', '308', '312', '381', '406', '467', '2', '79', '122', '154', '170', '173', '176', '185', '223', '228', '256', '270', '323']
['449', '351', '394', '397', '425', '60', '166', '174', '213', '244', '252', '317', '337', '343', '347', '396', '459', '461', '16', '25', '40', '54', '70', '96', '138']
['198', '332', '334', '382', '481', '483', '489', '5', '9', '20', '27', '53', '65', '74', '103', '109', '149', '157', '160', '194', '214', '257', '264', '277', '311']
['350', '232', '182', '12', '51', '69', '110', '121', '126', '216', '217', '276', '320', '410', '431', '435', '452', '465', '471', '473', '21', '78', '105', '117', '136']
['141', '409', '428', '442', '14', '23', '66', '67', '111', '118', '180', '188', '191', '206', '224', '239', '258', '262', '319', '328', '363', '429', '434', '460', '475']
['133', '380', '490', '33', '346', '146', '181', '208', '251', '253', '254', '286', '295', '298', '325', '348', '371', '407', '446', '484', '499', '6', '52', '100', '119']
['238', '131', '135', '199', '248', '287', '296', '329', '358', '372', '378', '387', '390', '400', '472', '10', '57', '86', '94', '107', '128', '134', '162', '243', '265']
['321', '373', '379', '414', '439', '469', '13', '17', '37', '84', '93', '123', '125', '167', '203', '234', '236', '261', '289', '324', '345', '349', '360', '383', '386']
['344', '388', '447', '468', '478', '494', '31', '92', '132', '140', '151', '152', '186', '211', '220', '221', '245', '259', '274', '340', '342', '444', '453', '482', '71']
['393', '413', '90', '272', '322', '327', '330', '333', '336', '367', '401', '496', '26', '44', '75', '82', '99', '106', '129', '192', '215', '230', '306', '362', '385']
['163', '479', '158', '108', '353', '359', '404', '423', '437', '498', '36', '41', '59', '64', '101', '150', '200', '219', '266', '285', '309', '335', '389', '395', '411']
['267', '80', '172', '448', '3', '29', '85', '153', '164', '218', '275', '293', '313', '368', '403', '419', '427', '451', '487', '48', '212', '247', '263', '269', '300']
['225', '402', '338', '22', '441', '474', '112', '168', '202', '284', '370', '374', '416', '38', '47', '137', '184', '303', '369', '424', '433', '454', '34', '115', '139']
['377', '450', '226', '249', '171', '399', '458', '4', '61', '316', '485', '493', '76', '196', '375', '443', '227', '290', '315', '73', '155', '260', '268', '356', '415']
['457', '144', '470', '49', '72', '190', '288', '299', '159', '436', '462', '195', '398', '147', '88', '189', '205', '445', '495', '417', '302', '175', '7', '127', '476']
['486', '421', '28', '178', '179', '187', '229', '294', '19', '89', '98', '193', '201', '231', '233', '282', '366', '420', '30', '42', '91', '169', '197', '291', '355']
