['10', '327', '434', '442', '57']
['428', '62', '76', '80', '194']
['395', '301', '306', '373', '440']
['410', '74', '290', '311', '356']
['106', '276', '353', '147', '228']
['431', '107', '161', '446', '53']
['51', '271', '293', '374', '419']
['77', '60', '102', '224', '280']
['95', '7', '207', '322', '377']
['127', '101', '386', '278', '346']
['325', '265', '451', '457', '460']
['337', '88', '263', '448', '449']
['179', '387', '78', '100', '112']
['209', '125', '256', '469', '42']
['340', '97', '230', '381', '405']
['254', '22', '234', '423', '494']
['5', '169', '192', '235', '316']
['240', '136', '223', '326', '336']
['246', '185', '284', '366', '406']
['270', '134', '151', '167', '496']
['404', '162', '368', '465', '29']
['27', '338', '165', '310', '332']
['40', '153', '392', '499', '21']
['55', '453', '30', '52', '86']
['70', '14', '281', '289', '330']
['199', '307', '462', '498', '9']
['211', '152', '389', '447', '43']
['226', '279', '417', '455', '475']
['277', '13', '285', '414', '46']
['480', '92', '108', '137', '142']
['18', '497', '109', '220', '273']
['261', '68', '75', '84', '91']
['328', '363', '376', '8', '17']
['367', '471', '87', '130', '198']
['443', '85', '258', '320', '350']
['470', '124', '174', '175', '181']
['482', '412', '168', '188', '193']
['104', '476', '155', '202', '212']
['156', '474', '468', '15', '113']
['203', '64', '71', '96', '117']
['218', '339', '123', '177', '186']
['269', '361', '466', '490', '128']
['298', '378', '222', '493', '34']
['420', '267', '483', '484', '140']
['424', '252', '287', '303', '390']
['436', '400', '403', '433', '445']
['454', '257', '300', '189', '204']
['464', '408', '343', '255', '111']
['1', '225', '195', '314', '407']
['242', '393', '409', '422', '432']
['296', '236', '172', '227', '297']
['304', '461', '37', '197', '253']
['383', '0', '184', '347', '380']
['452', '317', '44', '47', '58']
['485', '401', '492', '495', '67']
['2', '183', '90', '191', '229']
['33', '126', '182', '342', '344']
['61', '129', '141', '243', '309']
['110', '438', '262', '313', '370']
['149', '295', '250', '171', '178']
['157', '282', '379', '391', '399']
['176', '458', '331', '233', '388']
['190', '430', '439', '6', '329']
['219', '120', '39', '45', '69']
['318', '467', '170', '221', '274']
['398', '12', '94', '154', '415']
['479', '259', '164', '264', '429']
['24', '394', '308', '324', '397']
['138', '65', '135', '163', '187']
['210', '116', '275', '323', '348']
['213', '114', '119', '360', '416']
['216', '375', '35', '244', '425']
['231', '450', '291', '23', '103']
['237', '260', '292', '333', '402']
['249', '145', '158', '473', '56']
['382', '73', '81', '148', '214']
['477', '272', '315', '487', '3']
['19', '143', '63', '312', '319']
['25', '122', '369', '20', '26']
['28', '371', '437', '488', '79']
['36', '146', '215', '238', '357']
['54', '72', '489', '491', '166']
['66', '132', '421', '456', '131']
['83', '268', '201', '150', '159']
['89', '205', '266', '247', '93']
['206', '144', '121', '349', '359']
['245', '472', '248', '441', '286']
['299', '362', '413', '372', '364']
['302', '463', '478', '283', '358']
['335', '352', '396', '50', '251']
['341', '115', '321', '354', '411']
['351', '118', '16', '49', '133']
['384', '180', '99', '105', '305']
['418', '82', '459', '334', '59']
['426', '294', '444', '160', '355']
['427', '196', '38', '345', '365']
['435', '217', '385', '48', '41']
['486', '173', '241', '139', '208']
['4', '200', '98', '239', '481']
['11', '288', '232']
['32', '31']
