['33', '202', '377', '439', '345', '297', '290', '291', '197', '273', '277', '448', '441', '36', '437', '432', '339', '236', '233', '1', '142', '370', '89']
['229', '274', '440', '104', '30', '434', '90', '146', '148', '135', '134', '491', '29', '409', '392', '395', '87', '7', '245', '450', '451', '452', '456']
['130', '340', '444', '39', '333', '6', '493', '408', '371', '455', '177', '175', '185', '11', '10', '322', '320', '324', '77', '73', '72', '71', '70']
['349', '106', '35', '34', '435', '145', '496', '399', '398', '458', '327', '79', '8', '258', '121', '124', '126', '127', '129', '416', '137', '136', '313']
['326', '347', '293', '195', '192', '442', '82', '86', '240', '178', '187', '78', '411', '312', '315', '139', '138', '368', '367', '364', '362', '363', '360']
['205', '294', '193', '443', '446', '108', '454', '188', '189', '15', '18', '414', '311', '366', '361', '381', '382', '385', '387', '388', '389', '60', '62']
['27', '344', '279', '237', '492', '25', '84', '173', '184', '120', '123', '418', '380', '259', '64', '66', '68', '69', '250', '251', '254', '255', '469']
['284', '299', '194', '436', '144', '499', '494', '21', '248', '14', '200', '384', '61', '65', '465', '464', '466', '460', '462', '168', '169', '165', '166']
['305', '38', '37', '338', '330', '147', '143', '20', '179', '171', '182', '180', '325', '122', '386', '67', '167', '357', '356', '355', '354', '353', '352']
['163', '196', '276', '433', '235', '407', '244', '243', '242', '186', '13', '16', '201', '208', '75', '319', '310', '164', '358', '212', '213', '210', '211']
['112', '204', '438', '394', '261', '76', '410', '93', '172', '198', '278', '103', '101', '335', '0', '92', '132', '131', '490', '373', '174', '170', '253']
['470', '17', '342', '348', '449', '32', '99', '141', '404', '378', '372', '246', '241', '2', '74', '351', '214', '215', '218', '289', '288', '281', '280']
['249', '334', '98', '239', '379', '393', '391', '397', '203', '209', '369', '383', '463', '160', '162', '359', '219', '283', '285', '287', '286', '263', '262']
['321', '191', '341', '216', '282', '343', '271', '376', '498', '350', '346', '102', '100', '105', '431', '91', '234', '140', '495', '22', '403', '402', '401']
['252', '295', '97', '96', '26', '12', '207', '318', '365', '257', '468', '260', '265', '269', '268', '58', '55', '57', '56', '50', '53', '52', '63']
['331', '292', '199', '133', '406', '405', '374', '457', '176', '183', '329', '161', '51', '115', '117', '116', '111', '110', '119', '118', '429', '428', '423']
['28', '296', '190', '272', '31', '95', '94', '230', '453', '323', '206', '4', '266', '264', '421', '420', '425', '424', '308', '309', '301', '302', '303']
['316', '430', '332', '231', '375', '128', '419', '3', '256', '9', '267', '427', '304', '306', '181', '228', '227', '225', '224', '222', '221', '220', '88']
['149', '298', '445', '107', '232', '23', '85', '328', '417', '413', '317', '307', '390', '150', '152', '155', '154', '156', '159', '158', '80', '81', '48']
['497', '275', '337', '24', '19', '415', '314', '217', '226', '114', '151', '49', '46', '47', '44', '45', '42', '43', '40', '41', '5', '489', '488']
['113', '270', '336', '400', '396', '459', '412', '461', '59', '54', '300', '153', '487', '486', '485', '484', '483', '482', '480', '472', '473', '471', '477']
['422', '447', '109', '238', '83', '247', '125', '467', '426', '223', '157', '481', '476', '474', '475', '478', '479']
