['413', '10', '28', '318', '394', '461', '123', '436', '68', '399', '270', '317', '475', '19', '189', '245', '73', '229', '384', '495', '104', '391', '314']
['477', '276', '2', '13', '131', '146', '177', '242', '294', '377', '494', '36', '120', '139', '309', '357', '444', '474', '197', '61', '224', '373', '113']
['15', '465', '129', '203', '262', '282', '354', '398', '497', '264', '363', '450', '117', '190', '308', '366', '85', '259', '348', '3', '51', '196', '395']
['481', '227', '31', '58', '88', '119', '134', '140', '150', '152', '160', '209', '212', '249', '278', '316', '349', '353', '372', '407', '408', '419', '434']
['92', '382', '38', '473', '476', '127', '136', '350', '65', '255', '471', '483', '491', '78', '96', '100', '155', '183', '433', '143', '367', '451', '0']
['361', '27', '137', '12', '37', '157', '364', '205', '43', '108', '202', '441', '130', '214', '86', '29', '335', '416', '69', '194', '7', '83', '211']
['87', '301', '285', '396', '431', '456', '49', '70', '345', '406', '153', '162', '48', '52', '74', '147', '169', '171', '195', '215', '216', '239', '247']
['97', '311', '332', '53', '133', '145', '346', '380', '421', '427', '172', '218', '223', '11', '186', '192', '320', '415', '66', '72', '300', '470', '490']
['158', '62', '479', '109', '151', '173', '199', '342', '466', '47', '125', '312', '322', '376', '193', '283', '95', '142', '424', '94', '141', '179', '23']
['370', '325', '340', '389', '338', '356', '358', '24', '135', '299', '310', '426', '445', '90', '124', '351', '1', '25', '44', '59', '118', '121', '166']
['102', '174', '178', '184', '204', '233', '235', '241', '243', '286', '293', '298', '306', '326', '368', '386', '400', '409', '414', '418', '429', '432', '442']
['34', '281', '291', '329', '330', '393', '428', '482', '14', '167', '266', '411', '453', '17', '21', '272', '371', '489', '91', '149', '261', '472', '32']
['33', '168', '180', '454', '463', '496', '18', '46', '98', '103', '112', '201', '267', '379', '410', '4', '55', '82', '99', '148', '163', '263', '273']
['271', '336', '383', '449', '41', '132', '217', '275', '333', '106', '126', '339', '484', '79', '488', '159', '206', '352', '268', '269', '246', '6', '240']
['232', '404', '420', '75', '77', '116', '260', '319', '244', '328', '385', '279', '280', '295', '81', '165', '397', '258', '341', '45', '187', '423', '458']
['446', '250', '362', '438', '234', '344', '128', '289', '499', '230', '359', '378', '402', '5', '8', '56', '63', '67', '84', '122', '182', '200', '208']
['405', '50', '238', '251', '257', '303', '334', '347', '369', '374', '390', '452', '457', '464', '486', '64', '181', '213', '435', '485', '16', '228', '313']
['101', '412', '20', '198', '323', '365', '93', '110', '236', '54', '60', '225', '256', '360', '403', '462', '274', '297', '387', '30', '331', '253', '26']
['105', '138', '80', '144', '161', '170', '185', '220', '315', '324', '343', '388', '425', '437', '440', '443', '455', '467', '487', '498', '40', '219', '447']
['254', '191', '107', '381', '39', '493', '111', '492', '9', '89', '302', '478', '337', '71', '304', '459', '439', '480', '188', '292', '248', '252', '114']
['290', '401', '265', '35', '288', '430', '469', '57', '22', '42', '154', '156', '231', '327', '375', '460', '237', '321', '417', '226', '284', '392', '448']
['355']
['422', '468', '222', '307', '277', '76', '115', '175', '207', '287', '164', '176', '296', '305', '210', '221']
