['235', '72', '82', '83', '151']
['141', '160', '225', '276', '302']
['19', '298', '303', '348', '361']
['127', '394', '407', '411', '423']
['180', '482', '495', '12', '67']
['203', '88', '91', '102', '104']
['257', '218', '458', '165', '190']
['445', '405', '189', '191', '229']
['15', '54', '238', '244', '254']
['30', '491', '291', '351', '367']
['81', '388', '421', '438', '483']
['89', '219', '487', '3', '14']
['140', '133', '357', '22', '24']
['150', '413', '46', '64', '69']
['155', '280', '96', '172', '184']
['158', '210', '399', '159', '207']
['217', '99', '10', '223', '251']
['232', '117', '163', '174', '287']
['270', '107', '427', '220', '248']
['286', '485', '294', '299', '338']
['326', '496', '358', '359', '360']
['390', '114', '188', '368', '369']
['426', '382', '387', '391', '392']
['430', '414', '94', '415', '425']
['442', '447', '448', '471', '474']
['465', '452', '436', '25', '55']
['469', '134', '395', '8', '77']
['2', '79', '86', '98', '101']
['26', '213', '85', '75', '116']
['32', '279', '402', '130', '139']
['51', '146', '176', '194', '211']
['97', '132', '43', '243', '17']
['110', '410', '246', '250', '252']
['121', '292', '261', '290', '312']
['138', '240', '242', '440', '316']
['148', '404', '363', '366', '379']
['186', '272', '277', '384', '386']
['192', '354', '393', '398', '400']
['198', '285', '408', '412', '416']
['255', '450', '464', '470', '477']
['268', '147', '237', '109', '187']
['281', '481', '484', '493', '494']
['305', '313', '5', '21', '23']
['330', '216', '263', '372', '42']
['337', '100', '93', '488', '288']
['355', '45', '47', '68', '87']
['371', '113', '142', '149', '154']
['401', '356', '457', '20', '293']
['409', '204', '461', '80', '170']
['486', '39', '157', '131', '178']
['11', '60', '164', '202', '215']
['31', '103', '221', '239', '241']
['37', '249', '260', '265', '274']
['40', '73', '278', '297', '301']
['66', '304', '340', '341', '344']
['90', '347', '362', '375', '397']
['118', '377', '406', '435', '443']
['122', '342', '169', '349', '460']
['124', '467', '476', '478', '480']
['144', '490', '497', '6', '9']
['175', '308', '179', '498', '18']
['195', '34', '56', '78', '84']
['201', '456', '115', '119', '129']
['206', '135', '137', '145', '152']
['227', '182', '197', '212', '228']
['266', '324', '36', '231', '234']
['283', '256', '264', '271', '275']
['289', '153', '350', '59', '296']
['306', '459', '300', '307', '309']
['314', '310', '318', '319', '328']
['322', '334', '352', '353', '374']
['323', '381', '230', '295', '383']
['325', '193', '267', '128', '143']
['329', '489', '214', '380', '385']
['332', '428', '463', '466', '479']
['335', '451', '499', '125', '7']
['343', '432', '29', '35', '49']
['364', '126', '168', '475', '62']
['373', '70', '76', '106', '108']
['396', '111', '120', '123', '156']
['418', '0', '173', '209', '199']
['420', '222', '233', '247', '258']
['422', '95', '136', '236', '370']
['431', '321', '253', '429', '262']
['453', '166', '162', '224', '284']
['455', '1', '112', '424', '417']
['473', '311', '320', '331', '333']
['492', '345', '346', '378', '419']
['4', '13', '92', '63', '389']
['16', '454', '282', '33', '205']
['28', '433', '439', '444', '446']
['38', '462', '48', '52', '74']
['44', '27', '315', '105', '161']
['50', '171', '196', '200', '208']
['53', '259', '365', '403', '434']
['57', '245', '226', '468', '336']
['58', '177', '185', '327', '273']
['61', '317', '449', '167', '441']
['65', '376', '41', '269', '339']
['71', '181', '472', '437', '183']
