['100', '265', '195', '209', '47', '247', '160', '346', '141', '215', '302', '34', '338', '241', '329', '166']
['198', '82', '337', '61', '129', '1', '252', '211', '228', '299', '270', '172', '126', '387', '292', '101']
['376', '233', '180', '65', '351', '116', '110', '112', '6', '375', '368', '283', '286', '52', '43', '38']
['80', '127', '91', '9', '287', '196', '132', '99', '131', '321', '356', '50', '150', '154', '36', '231']
['250', '249', '176', '380', '355', '269', '377', '88', '398', '227', '222', '151', '37', '95', '142', '143']
['264', '27', '62', '256', '207', '383', '186', '206', '53', '225', '158', '45', '130', '26', '22', '28']
['339', '280', '12', '381', '164', '284', '305', '297', '336', '29', '175', '327', '325', '77', '2', '316']
['84', '177', '189', '121', '315', '223', '236', '246', '313', '367', '389', '288', '113', '301', '229', '156']
['106', '390', '179', '362', '64', '254', '214', '55', '199', '393', '170', '184', '17', '322', '326', '66']
['51', '105', '153', '205', '178', '391', '4', '190', '147', '148', '83', '72', '382', '161', '210', '44']
['342', '324', '49', '136', '135', '388', '163', '56', '349', '294', '194', '20', '394', '181', '15', '165']
['372', '260', '298', '317', '366', '281', '114', '253', '348', '25', '371', '248', '185', '259', '353', '352']
['307', '42', '96', '238', '263', '226', '293', '255', '119', '303', '102', '33', '203', '75', '289', '282']
['291', '208', '213', '266', '308', '306', '157', '81', '48', '272', '13', '328', '78', '67', '54', '5']
['187', '331', '138', '397', '123', '347', '290', '104', '200', '68', '118', '220', '39', '144', '134', '7']
['120', '197', '309', '85', '399', '344', '191', '192', '273', '333', '90', '373', '243', '350', '217', '219']
['169', '274', '93', '384', '46', '340', '354', '111', '335', '232', '145', '386', '59', '117', '140', '400']
['103', '10', '71', '31', '94', '240', '304', '230', '137', '173', '57', '97', '133', '182', '201', '125']
['239', '155', '109', '24', '19', '295', '235', '361', '32', '379', '267', '149', '374', '212', '21', '40']
['392', '285', '385', '300', '79', '162', '268', '159', '107', '332', '323', '8', '363', '30', '318', '3']
['128', '16', '271', '330', '237', '204', '124', '311', '58', '70', '310', '359', '224', '345', '341', '296']
['108', '139', '245', '89', '98', '343', '276', '168', '218', '63', '41', '334', '174', '11', '257', '261']
['60', '146', '92', '74', '73', '314', '369', '365', '69', '14', '320', '202', '360', '167', '357', '396']
['278', '193', '242', '244', '183', '234', '122', '319', '312', '152', '87', '277', '171', '216', '358', '188']
['23', '370', '395', '279', '251', '262', '18', '364', '221', '378', '86', '275', '35', '76', '258', '115']
