['0', '241', '242', '255', '8', '106', '108', '125', '140', '155', '166', '189', '198', '206', '207', '231']
['33', '236', '238', '24', '110', '114', '138', '153', '180', '203', '205', '215', '227', '229', '239', '19']
['66', '38', '41', '69', '73', '76', '93', '143', '162', '163', '173', '202', '253', '3', '15', '35']
['99', '51', '52', '57', '102', '120', '126', '128', '137', '146', '185', '186', '187', '190', '191', '196']
['132', '225', '230', '235', '244', '247', '10', '26', '81', '87', '139', '149', '150', '152', '171', '172']
['165', '174', '179', '183', '192', '195', '214', '226', '245', '16', '20', '30', '39', '43', '63', '64']
['154', '68', '96', '101', '107', '112', '115', '116', '117', '119', '123', '129', '130', '141', '142', '151']
['156', '204', '208', '216', '217', '251', '254', '6', '9', '21', '31', '40', '44', '50', '88', '103']
['159', '121', '158', '184', '212', '213', '220', '221', '223', '233', '240', '246', '5', '11', '77', '80']
['201', '89', '97', '111', '118', '131', '133', '161', '175', '193', '224', '243', '1', '23', '36', '46']
['210', '47', '48', '61', '72', '95', '100', '113', '160', '194', '248', '249', '32', '34', '105', '168']
['12', '177', '178', '199', '209', '211', '228', '27', '37', '42', '67', '82', '98', '109', '144', '147']
['58', '169', '176', '181', '219', '232', '234', '250', '29', '53', '56', '62', '71', '75', '86', '122']
['78', '124', '145', '252', '55', '70', '74', '83', '90', '104', '136', '222', '237', '7', '17', '22']
['84', '28', '60', '79', '148', '157', '200', '164', '188', '45', '59', '91', '94', '135', '197', '13']
['218', '14', '18', '49', '167', '65', '85', '182', '92', '170', '25', '134', '54', '4', '127', '2']
