['23', '82', '83', '97', '121', '128', '140', '141', '146', '148']
['52', '153', '155', '165', '192', '194', '198', '212', '217', '280']
['147', '78', '100', '104', '108', '111', '113', '150', '151', '152']
['271', '220', '223', '281', '284', '304', '310', '311', '321', '330']
['10', '331', '337', '338', '339', '342', '343', '347', '364', '366']
['41', '203', '260', '261', '367', '368', '370', '376', '379', '40']
['49', '44', '45', '46', '48', '142', '144', '145', '154', '156']
['50', '51', '53', '54', '59', '157', '158', '162', '179', '221']
['73', '72', '74', '75', '160', '161', '166', '167', '168', '169']
['98', '90', '91', '92', '93', '95', '96', '116', '236', '238']
['101', '102', '103', '105', '106', '250', '251', '252', '255', '259']
['130', '133', '131', '132', '135', '136', '137', '282', '283', '291']
['176', '170', '171', '172', '173', '174', '175', '178', '289', '298']
['180', '181', '183', '185', '186', '274', '182', '184', '187', '189']
['230', '110', '233', '234', '112', '115', '117', '118', '119', '231']
['232', '190', '191', '193', '196', '197', '239', '299', '302', '303']
['240', '312', '313', '315', '316', '317', '318', '320', '326', '336']
['245', '242', '243', '244', '246', '248', '332', '333', '334', '335']
['257', '201', '253', '254', '258', '385', '200', '202', '205', '207']
['263', '262', '264', '269', '340', '341', '344', '345', '346', '348']
['275', '349', '350', '351', '353', '359', '360', '361', '362', '371']
['290', '120', '293', '352', '80', '81', '84', '85', '87', '89']
['328', '306', '322', '323', '324', '122', '270', '272', '273', '300']
['384', '372', '373', '380', '381', '382', '386', '387', '392', '398']
['391', '390', '393', '395', '396', '123', '125', '292', '294', '297']
['1', '0', '3', '6', '216', '2', '5', '8', '27', '88']
['9', '94', '99', '107', '109', '114', '124', '127', '129', '134']
['11', '12', '14', '15', '17', '19', '16', '138', '139', '143']
['13', '177', '188', '195', '215', '218', '224', '225', '227', '229']
['21', '20', '22', '26', '28', '25', '29', '163', '219', '235']
['30', '31', '37', '39', '210', '211', '36', '38', '213', '214']
['32', '35', '374', '206', '237', '241', '249', '256', '267', '286']
['33', '287', '288', '295', '301', '305', '307', '308', '314', '325']
['34', '42', '276', '277', '309', '355', '356', '357', '363', '365']
['43', '369', '377', '383', '389', '394', '399', '4', '7', '18']
['63', '60', '61', '62', '68', '69', '64', '66', '67', '24']
['65', '222', '55', '58', '47', '56', '57', '86', '149', '159']
['70', '164', '199', '204', '208', '209', '226', '228', '247', '265']
['71', '76', '79', '266', '268', '278', '296', '319', '327', '329']
['77', '354', '375', '378', '397', '126', '279', '285', '358', '388']
