['80', '8', '247', '74', '331', '391', '43', '292', '107', '106']
['147', '25', '200', '181', '364', '349', '145', '381', '196', '348']
['219', '163', '187', '276', '118', '290', '373', '318', '161', '52']
['155', '6', '20', '53', '92', '211', '143', '182', '138', '249']
['304', '89', '63', '205', '319', '76', '83', '65', '24', '220']
['254', '15', '139', '287', '392', '108', '128', '103', '362', '293']
['46', '337', '191', '263', '130', '366', '375', '37', '87', '96']
['395', '358', '374', '66', '7', '193', '49', '213', '172', '22']
['93', '77', '27', '168', '214', '345', '298', '124', '140', '136']
['340', '164', '210', '167', '221', '231', '178', '228', '67', '250']
['380', '261', '234', '284', '95', '42', '39', '32', '2', '283']
['114', '56', '285', '192', '288', '148', '352', '212', '320', '233']
['321', '31', '160', '239', '184', '175', '36', '14', '120', '355']
['45', '230', '308', '116', '69', '59', '295', '256', '257', '378']
['100', '186', '154', '165', '296', '0', '177', '275', '101', '152']
['273', '253', '57', '98', '33', '48', '3', '121', '279', '28']
['277', '322', '199', '317', '302', '303', '17', '271', '141', '134']
['356', '71', '173', '113', '269', '44', '5', '109', '222', '339']
['35', '237', '393', '190', '244', '207', '342', '328', '350', '125']
['280', '62', '159', '357', '60', '361', '40', '131', '229', '307']
['78', '259', '104', '346', '21', '351', '150', '332', '156', '278']
['142', '10', '209', '353', '297', '91', '135', '255', '54', '216']
['334', '282', '126', '217', '129', '326', '294', '123', '300', '386']
['384', '338', '1', '81', '86', '180', '286', '369', '382', '127']
['223', '133', '204', '324', '365', '97', '157', '232', '183', '166']
['291', '12', '325', '281', '73', '289', '151', '144', '189', '347']
['360', '387', '305', '306', '218', '158', '102', '368', '85', '68']
['122', '9', '176', '224', '265', '195', '264', '376', '11', '194']
['19', '202', '327', '242', '390', '343', '30', '354', '105', '251']
['132', '82', '26', '385', '236', '203', '16', '313', '112', '188']
['359', '396', '171', '397', '370', '312', '174', '197', '179', '110']
['64', '309', '170', '333', '34', '301', '99', '88', '388', '379']
['243', '13', '274', '47', '137', '18', '246', '198', '111', '372']
['367', '252', '266', '115', '72', '399', '206', '245', '94', '315']
['84', '262', '117', '330', '267', '58', '226', '314', '169', '344']
['38', '258', '90', '329', '270', '23', '335', '323', '153', '383']
['201', '225', '311', '238', '248', '55', '394', '389', '185', '316']
['336', '29', '75', '4', '79', '310', '341', '51', '227', '363']
['146', '41', '119', '70', '260', '61', '299', '235', '149', '371']
['215', '268', '241', '162']
['50', '208', '240', '398', '272', '377']
