['61', '164', '168', '172']
['238', '63', '69', '71']
['84', '15', '18', '57']
['95', '147', '216', '224']
['3', '182', '186', '4']
['13', '142', '145', '200']
['50', '112', '47', '64']
['137', '130', '212', '218']
['197', '94', '233', '247']
['175', '76', '98', '243']
['240', '248', '20', '36']
['66', '8', '29', '116']
['174', '139', '144', '152']
['194', '159', '169', '170']
['227', '160', '171', '217']
['9', '246', '40', '45']
['12', '56', '128', '149']
['25', '155', '167', '206']
['108', '163', '1', '14']
['237', '21', '150', '215']
['92', '114', '166', '219']
['97', '105', '184', '195']
['133', '74', '78', '80']
['41', '223', '249', '11']
['46', '19', '86', '121']
['53', '23', '135', '176']
['106', '157', '193', '220']
['122', '48', '67', '134']
['156', '65', '177', '180']
['209', '5', '30', '52']
['236', '165', '205', '229']
['7', '2', '42', '51']
['33', '107', '125', '148']
['34', '75', '153', '191']
['102', '207', '213', '214']
['123', '245', '26', '68']
['132', '143', '201', '239']
['154', '24', '72', '73']
['181', '210', '70', '79']
['198', '96', '120', '187']
['211', '82', '113', '38']
['232', '111', '93', '109']
['49', '129', '188', '192']
['62', '230', '124', '131']
['99', '196', '208', '221']
['119', '17', '110', '118']
['179', '235', '90', '189']
['190', '10', '28', '58']
['88', '43', '83', '115']
['126', '234', '85', '136']
['138', '204', '101', '203']
['151', '117', '162', '183']
['178', '244', '77', '89']
['226', '37', '140', '146']
['242', '35', '59', '173']
['0', '44', '91', '100']
['31', '202', '225', '32']
['39', '127', '231', '81']
['55', '185', '228', '222']
['60', '104', '199', '16']
['87', '6', '54', '103']
['141', '241', '27', '158']
['161', '22']
