['425', '229', '844', '769', '797', '213', '796', '268', '411', '601']
['641', '930', '928', '976', '274', '694', '47', '134', '857', '299']
['801', '921', '761', '617', '324', '166', '852', '663', '952', '574']
['11', '577', '487', '502', '94', '14', '446', '865', '36', '171']
['519', '45', '123', '223', '387', '325', '727', '778', '303', '800']
['189', '412', '841', '143', '476', '297', '27', '672', '190', '226']
['753', '355', '3', '953', '808', '949', '350', '141', '450', '366']
['717', '269', '187', '707', '985', '762', '794', '243', '157', '212']
['131', '931', '748', '107', '904', '997', '418', '103', '345', '225']
['569', '125', '376', '987', '978', '228', '470', '542', '898', '729']
['178', '646', '207', '405', '485', '24', '239', '642', '610', '977']
['721', '817', '454', '177', '13', '821', '252', '854', '140', '38']
['37', '121', '712', '397', '205', '133', '65', '734', '337', '793']
['294', '845', '975', '749', '273', '265', '152', '598', '202', '920']
['811', '318', '32', '249', '839', '840', '906', '344', '699', '746']
['527', '525', '743', '430', '500', '89', '401', '122', '389', '756']
['209', '683', '754', '855', '77', '963', '79', '899', '460', '716']
['338', '153', '406', '653', '872', '679', '232', '947', '46', '834']
['210', '772', '664', '638', '996', '192', '465', '887', '288', '736']
['292', '457', '842', '785', '551', '607', '881', '673', '711', '612']
['560', '912', '491', '575', '706', '700', '83', '291', '341', '242']
['129', '380', '327', '363', '352', '604', '656', '343', '458', '488']
['608', '730', '804', '289', '757', '633', '431', '271', '305', '31']
['555', '689', '176', '669', '627', '154', '377', '820', '16', '960']
['287', '290', '615', '514', '812', '849', '139', '395', '648', '59']
['745', '451', '701', '535', '427', '203', '970', '392', '172', '891']
['137', '752', '473', '467', '5', '882', '495', '792', '68', '330']
['659', '421', '759', '758', '763', '443', '590', '9', '536', '208']
['248', '644', '466', '237', '315', '735', '925', '989', '264', '462']
['266', '158', '322', '335', '603', '531', '684', '956', '862', '66']
['423', '272', '505', '969', '148', '543', '362', '497', '429', '802']
['824', '347', '44', '417', '331', '724', '570', '981', '907', '132']
['101', '483', '710', '933', '280', '439', '261', '791', '179', '719']
['251', '308', '708', '461', '940', '967', '809', '946', '64', '310']
['164', '56', '737', '267', '314', '554', '323', '883', '136', '71']
['214', '655', '231', '703', '914', '186', '76', '219', '557', '935']
['283', '215', '110', '93', '10', '161', '650', '145', '720', '548']
['475', '677', '398', '30', '394', '661', '787', '479', '873', '26']
['480', '201', '328', '195', '983', '184', '866', '665', '998', '624']
['592', '951', '70', '456', '105', '375', '927', '810', '382', '867']
['825', '909', '503', '333', '509', '559', '75', '117', '965', '596']
['974', '222', '626', '160', '964', '332', '339', '304', '357', '582']
['414', '391', '733', '529', '81', '657', '571', '311', '549', '572']
['50', '22', '282', '538', '100', '630', '600', '678', '455', '40']
['714', '58', '442', '838', '958', '836', '57', '356', '562', '625']
['424', '106', '404', '90', '419', '517', '410', '670', '238', '698']
['680', '609', '634', '349', '112', '784', '48', '61', '440', '900']
['381', '674', '354', '17', '230', '119', '12', '830', '908', '104']
['890', '884', '681', '620', '863', '156', '84', '39', '826', '426']
['4', '831', '149', '771', '72', '892', '786', '938', '98', '449']
['715', '777', '206', '966', '628', '378', '501', '566', '747', '116']
['54', '181', '246', '895', '240', '676', '263', '277', '814', '798']
['41', '399', '191', '691', '313', '316', '198', '115', '614', '919']
['781', '114', '233', '629', '819', '307', '662', '731', '236', '496']
['162', '995', '28', '667', '705', '879', '815', '433', '361', '474']
