['294', '106', '989', '725', '742', '499', '838', '247', '193', '403', '537', '534', '921', '782', '398', '713', '75', '703', '470', '32', '507', '607', '418', '104', '16', '495', '597', '282', '611', '937', '296', '127', '356', '129', '971', '301', '624', '844', '160', '992', '347', '162', '883', '528', '80', '785', '636', '974', '595', '278']
['114', '670', '387', '797', '827', '13', '361', '288', '602', '196', '904', '726', '406', '545', '557', '14', '820', '993', '480', '727', '684', '404', '379', '376', '807', '6', '101', '756', '107', '352', '125', '642', '508', '187', '748', '920', '71', '761', '775', '223', '774', '483', '236', '15', '855', '990', '58', '902', '490', '88']
['186', '686', '676', '143', '903', '67', '896', '436', '750', '737', '753', '56', '299', '390', '854', '656', '860', '207', '744', '798', '457', '819', '460', '427', '35', '897', '336', '381', '822', '414', '789', '443', '144', '183', '405', '915', '1', '18', '821', '600', '242', '332', '691', '905', '298', '292', '395', '578', '313', '177']
['408', '524', '882', '36', '728', '444', '899', '216', '28', '953', '961', '690', '330', '770', '924', '517', '287', '238', '300', '695', '346', '721', '450', '964', '956', '435', '615', '323', '692', '720', '340', '445', '833', '704', '527', '934', '148', '81', '351', '951', '562', '645', '74', '799', '39', '454', '927', '202', '651', '592']
['666', '230', '532', '868', '911', '392', '505', '839', '697', '260', '965', '985', '311', '281', '117', '771', '279', '385', '192', '834', '520', '722', '502', '179', '540', '455', '853', '140', '147', '384', '20', '496', '510', '433', '174', '804', '590', '424', '188', '710', '541', '801', '698', '929', '62', '479', '606', '619', '262', '525']
['284', '312', '716', '176', '37', '303', '876', '241', '133', '898', '189', '33', '60', '699', '254', '818', '204', '63', '503', '9', '337', '576', '635', '452', '802', '754', '322', '848', '845', '746', '79', '908', '221', '172', '918', '569', '113', '949', '267', '623', '816', '417', '589', '493', '685', '988', '205', '423', '585', '910']
['280', '467', '93', '863', '936', '796', '618', '182', '70', '640', '276', '591', '864', '501', '426', '696', '632', '412', '809', '270', '815', '44', '366', '108', '878', '977', '823', '102', '168', '906', '421', '343', '766', '870', '895', '438', '955', '273', '561', '683', '662', '122', '105', '401', '478', '542', '468', '558', '375', '538']
['707', '847', '166', '935', '484', '711', '465', '768', '53', '772', '68', '233', '509', '321', '22', '647', '200', '846', '568', '674', '661', '382', '194', '588', '759', '559', '805', '778', '760', '826', '180', '560', '87', '995', '365', '432', '928', '627', '116', '409', '580', '232', '227', '249', '702', '383', '110', '175', '341', '251']
['497', '740', '255', '209', '73', '986', '485', '315', '471', '566', '95', '708', '914', '115', '724', '567', '616', '55', '258', '235', '932', '738', '263', '428', '76', '274', '584', '733', '926', '922', '320', '653', '803', '226', '892', '657', '434', '283', '865', '688', '225', '565', '734', '916', '167', '939', '594', '277', '836', '867']
['723', '362', '121', '171', '430', '326', '98', '741', '700', '224', '396', '765', '786', '957', '210', '84', '731', '345', '630', '941', '891', '154', '137', '269', '338', '577', '554', '261', '256', '893', '40', '888', '459', '152', '57', '310', '155', '472', '353', '48', '145', '972', '475', '456', '257', '996', '850', '598', '675', '118']
['139', '103', '739', '11', '791', '552', '659', '388', '743', '466', '556', '593', '811', '551', '582', '784', '943', '795', '575', '447', '709', '377', '461', '302', '553', '156', '875', '488', '407', '680', '840', '521', '511', '77', '239', '477', '512', '583', '714', '871', '973', '391', '948', '334', '841', '487', '535', '633', '790', '72']
['604', '413', '830', '229', '244', '486', '265', '944', '492', '550', '970', '54', '857', '370', '812', '138', '136', '907', '672', '208', '832', '78', '851', '489', '481', '240', '153', '30', '671', '243', '151', '285', '945', '498', '45', '66', '126', '272', '358', '555', '317', '751', '813', '831', '25', '305', '8', '451', '975', '491']
['342', '504', '94', '617', '663', '185', '730', '21', '682', '386', '788', '38', '694', '474', '339', '701', '919', '877', '546', '308', '252', '380', '780', '571', '297', '862', '679', '605', '128', '962', '195', '890', '52', '469', '100', '130', '678', '49', '649', '163', '669', '917', '513', '631', '514', '314', '652', '402', '808', '295']
['201', '978', '925', '997', '889', '610', '544', '872', '7', '190', '181', '912', '135', '59', '218', '389', '2', '515', '354', '665', '608', '453', '712', '758', '198', '331', '777', '885', '64', '150', '806', '940', '946', '157', '861', '930', '959', '397', '368', '268', '165', '463', '856', '333', '410', '394', '419', '609', '112', '886']
['887', '729', '643', '371', '422', '10', '613', '372', '245', '979', '318', '639', '482', '793', '982', '349', '291', '689', '879', '947', '464', '987', '425', '327', '169', '5', '745', '629', '29', '884', '411', '677', '998', '142', '950', '858', '668', '448', '655', '120', '873', '65', '400', '357', '149', '901', '634', '47', '50', '549']
['980', '894', '3', '440', '787', '942', '85', '573', '360', '817', '215', '900', '231', '614', '516', '570', '625', '773', '719', '290', '518', '705', '253', '355', '954', '717', '976', '706', '219', '522', '90', '378', '132', '286', '248', '673', '660', '12', '34', '19', '96', '732', '866', '638', '203', '259', '348', '519', '650', '587']
['304', '968', '462', '938', '506', '307', '763', '596', '324', '548', '599', '693', '206', '446', '779', '933', '61', '437', '529', '109', '842', '27', '439', '849', '769', '531', '344', '564', '586', '328', '266', '271', '329', '431', '792', '603', '852', '289', '212', '364', '124', '164', '158', '69', '767', '476', '718', '952', '621', '31']
['275', '24', '264', '664', '967', '963', '991', '715', '99', '869', '335', '441', '91', '293', '123', '749', '825', '781', '316', '981', '42', '161', '17', '23', '681', '420', '762', '309', '416', '637', '369', '776', '250', '800', '131', '234', '197', '220', '89', '373', '574', '843', '835', '213', '572', '119', '399', '983', '837', '626']
['82', '4', '646', '184', '325', '757', '494', '228', '579', '449', '958', '393', '966', '306', '363', '628', '543', '601', '41', '111', '217', '563', '429', '83', '523', '539', '170', '359', '86', '909', '667', '246', '984', '829', '658', '581', '237', '134', '859', '747', '46', '222', '367', '687', '960', '350', '26', '620', '755', '641']
['622', '191', '752', '923', '764', '473', '500', '814', '880', '536', '51', '644', '874', '735', '612', '92', '824', '881', '547', '442', '159', '0', '654', '458', '530', '736', '214', '648', '931', '173', '794', '828', '43', '415', '146', '810', '969', '141', '319', '178', '374', '199', '913', '783', '526', '994', '97', '533', '211']
