['341', '926', '137', '566', '125', '999', '68', '638', '841', '740']
['474', '939', '657', '115', '499', '343', '81', '250', '252', '220']
['150', '915', '609', '392', '76', '141', '413', '861', '928', '686']
['121', '411', '812', '466', '31', '38', '728', '430', '704', '103']
['381', '991', '409', '18', '600', '299', '266', '722', '564', '452']
['318', '134', '410', '148', '190', '833', '446', '777', '308', '221']
['429', '127', '214', '158', '526', '718', '456', '856', '916', '650']
['797', '931', '180', '386', '356', '373', '741', '231', '309', '690']
['25', '23', '322', '294', '547', '200', '418', '973', '67', '126']
['779', '947', '313', '992', '818', '332', '989', '156', '944', '192']
['788', '961', '553', '890', '522', '282', '610', '310', '614', '787']
['783', '168', '369', '937', '811', '146', '538', '98', '723', '395']
['242', '288', '746', '388', '500', '775', '455', '362', '819', '626']
['831', '846', '986', '820', '451', '35', '249', '699', '725', '552']
['679', '950', '194', '49', '296', '976', '598', '119', '218', '534']
['484', '853', '286', '738', '700', '561', '628', '625', '64', '865']
['584', '714', '157', '73', '22', '735', '802', '281', '801', '93']
['649', '20', '555', '940', '2', '695', '47', '396', '439', '825']
['393', '110', '469', '193', '532', '652', '255', '480', '603', '595']
['215', '503', '648', '253', '133', '483', '620', '666', '832', '71']
['587', '53', '979', '329', '701', '95', '50', '771', '414', '176']
['145', '436', '516', '900', '710', '222', '963', '165', '164', '467']
['685', '292', '847', '903', '826', '450', '574', '919', '433', '773']
['143', '896', '813', '383', '441', '69', '387', '4', '311', '618']
['967', '431', '933', '236', '573', '324', '572', '778', '969', '122']
['368', '181', '289', '131', '984', '764', '284', '269', '883', '445']
['591', '661', '366', '130', '361', '830', '495', '936', '814', '36']
['5', '380', '443', '300', '390', '201', '335', '404', '827', '488']
['659', '227', '627', '604', '755', '539', '640', '793', '224', '541']
['354', '972', '363', '82', '845', '458', '65', '758', '570', '911']
['578', '365', '607', '401', '52', '766', '643', '954', '895', '956']
['86', '83', '912', '245', '106', '932', '880', '59', '10', '624']
['839', '753', '349', '784', '389', '876', '485', '493', '917', '677']
['546', '177', '630', '70', '870', '303', '473', '751', '703', '978']
['924', '908', '780', '197', '489', '6', '183', '693', '899', '663']
['186', '593', '321', '338', '645', '182', '828', '711', '398', '840']
['596', '850', '357', '94', '716', '89', '981', '477', '265', '179']
['235', '776', '768', '729', '290', '681', '909', '37', '955', '56']
['691', '209', '752', '739', '888', '985', '720', '705', '422', '868']
['248', '744', '559', '406', '63', '162', '872', '683', '61', '74']
['189', '949', '358', '334', '45', '277', '579', '615', '264', '317']
['259', '262', '210', '790', '804', '394', '606', '513', '405', '11']
['543', '465', '688', '60', '211', '654', '424', '449', '270', '170']
['372', '293', '240', '590', '974', '951', '8', '871', '360', '781']
['367', '913', '829', '79', '223', '636', '786', '697', '560', '32']
['665', '952', '791', '756', '419', '96', '152', '792', '923', '494']
['306', '72', '118', '15', '385', '641', '80', '551', '556', '763']
['427', '882', '815', '757', '745', '575', '565', '26', '226', '731']
['100', '457', '549', '105', '97', '276', '470', '99', '260', '479']
['800', '159', '957', '12', '767', '660', '432', '124', '301', '202']
['128', '247', '902', '78', '891', '173', '304', '280', '257', '155']
['754', '344', '942', '172', '602', '867', '350', '525', '244', '198']
['114', '662', '750', '785', '440', '415', '548', '228', '922', '864']
['348', '898', '7', '709', '514', '646', '448', '836', '0', '101']
['104', '302', '656', '502', '823', '747', '721', '530', '319', '635']
['438', '760', '971', '568', '267', '312', '904', '216', '518', '580']
['794', '377', '594', '863', '14', '330', '151', '336', '866', '233']
['671', '28', '48', '706', '371', '163', '881', '167', '634', '3']
['637', '675', '307', '807', '339', '749', '982', '426', '975', '857']
['743', '910', '707', '724', '19', '601', '769', '442', '563', '213']
['212', '980', '298', '508', '263', '108', '254', '647', '726', '953']
['761', '30', '400', '653', '789', '582', '921', '983', '225', '762']
['239', '378', '810', '87', '798', '878', '482', '733', '355', '544']
['24', '632', '402', '135', '41', '855', '421', '364', '507', '658']
['558', '510', '55', '9', '887', '187', '506', '219', '408', '166']
['803', '278', '420', '116', '599', '877', '258', '533', '305', '230']
['107', '732', '694', '644', '996', '824', '328', '171', '509', '204']
['959', '17', '481', '136', '435', '808', '195', '964', '537', '736']
['849', '592', '351', '147', '325', '821', '208', '713', '621', '185']
['272', '834', '428', '748', '416', '562', '629', '160', '454', '111']
['550', '256', '676', '702', '331', '384', '279', '838', '91', '246']
['33', '886', '730', '472', '892', '417', '517', '927', '869', '970']
['315', '13', '674', '323', '943', '206', '490', '742', '994', '327']
['241', '576', '29', '608', '569', '123', '471', '673', '102', '84']
['715', '719', '54', '854', '633', '734', '727', '217', '391', '770']
['46', '232', '524', '545', '337', '536', '795', '616', '782', '283']
['631', '670', '968', '462', '678', '511', '149', '504', '275', '885']
['835', '374', '535', '894', '268', '858', '941', '463', '523', '540']
['188', '42', '1', '906', '345', '874', '948', '88', '905', '884']
['132', '962', '243', '379', '879', '460', '938', '993', '120', '567']
['852', '464', '58', '987', '997', '965', '57', '914', '689', '521']
['995', '333', '403', '708', '945', '138', '597', '862', '92', '692']
['251', '799', '617', '169', '682', '320', '612', '651', '347', '542']
['476', '988', '492', '39', '437', '585', '966', '382', '672', '586']
['34', '478', '605', '655', '178', '759', '174', '51', '140', '696']
['238', '520', '196', '848', '712', '842', '273', '271', '859', '796']
['153', '529', '77', '698', '920', '571', '498', '528', '772', '527']
['62', '112', '907', '407', '75', '461', '16', '501', '199', '423']
['765', '619', '901', '929', '581', '925', '491', '205', '667', '687']
['370', '893', '129', '342', '234', '144', '935', '447', '326', '554']
['40', '203', '668', '642', '817', '622', '161', '44', '873', '998']
['359', '85', '353', '352', '613', '487', '851', '960', '557', '261']
['860', '90', '958', '399', '295', '497', '623', '843', '475', '918']
['611', '27', '316', '589', '375', '583', '496', '459', '977', '340']
['684', '425', '669', '897', '287', '21', '990', '805', '412', '822']
['531', '639', '505', '946', '934', '207', '737', '285', '237', '154']
['43', '346', '184', '515', '191', '806', '809', '274', '680', '774']
['434', '453', '816', '664', '444', '577', '512', '588', '717', '113']
['291', '930', '519', '139', '889', '486', '142', '229', '875', '109']
['844', '297', '837', '376', '175', '314', '397', '66', '117', '468']
