['426', '197', '407', '423', '194', '447', '209', '369', '267', '172']
['223', '247', '467', '51', '344', '23', '155', '43', '287', '295']
['24', '459', '225', '67', '377', '7', '402', '359', '36', '113']
['386', '162', '334', '303', '94', '102', '13', '275', '215', '56']
['122', '376', '330', '132', '312', '487', '370', '355', '354', '129']
['460', '30', '328', '248', '2', '131', '484', '417', '44', '331']
['313', '182', '462', '1', '14', '245', '365', '292', '437', '498']
['349', '148', '185', '111', '271', '366', '241', '6', '441', '253']
['341', '116', '469', '117', '41', '205', '345', '392', '98', '428']
['415', '22', '429', '439', '298', '466', '420', '367', '183', '305']
['96', '180', '322', '488', '234', '169', '109', '329', '470', '9']
['119', '361', '52', '83', '396', '220', '492', '296', '140', '161']
['34', '338', '497', '284', '212', '340', '146', '115', '408', '321']
['37', '62', '472', '208', '18', '143', '397', '128', '55', '351']
['485', '63', '90', '270', '272', '399', '133', '229', '435', '12']
['233', '495', '216', '381', '206', '78', '252', '384', '158', '403']
['405', '478', '97', '188', '10', '318', '431', '363', '214', '461']
['184', '221', '410', '45', '286', '448', '170', '483', '211', '406']
['261', '32', '411', '210', '186', '65', '350', '323', '191', '307']
['280', '454', '195', '61', '53', '76', '277', '222', '276', '17']
['200', '60', '388', '256', '490', '285', '144', '141', '48', '19']
['357', '15', '105', '72', '189', '81', '412', '91', '422', '342']
['343', '242', '390', '353', '3', '456', '87', '458', '364', '82']
['75', '314', '436', '499', '232', '39', '306', '440', '177', '171']
['178', '391', '398', '196', '68', '300', '476', '198', '393', '308']
['106', '244', '190', '383', '335', '88', '293', '126', '42', '395']
['80', '491', '317', '159', '347', '107', '246', '137', '362', '103']
['288', '450', '59', '413', '496', '202', '336', '290', '40', '449']
['230', '145', '112', '20', '164', '175', '179', '337', '379', '231']
['228', '168', '124', '4', '468', '262', '163', '274', '160', '356']
['374', '320', '302', '260', '204', '130', '227', '389', '438', '181']
['50', '123', '16', '294', '444', '380', '240', '26', '213', '360']
['193', '433', '297', '92', '268', '35', '157', '333', '46', '258']
['134', '249', '71', '281', '69', '452', '138', '47', '165', '263']
['86', '239', '301', '125', '66', '486', '99', '110', '11', '315']
['463', '421', '149', '264', '176', '73', '8', '173', '127', '151']
['217', '358', '79', '332', '401', '348', '58', '325', '371', '375']
['265', '85', '259', '54', '309', '93', '451', '100', '95', '299']
['154', '465', '251', '255', '474', '310', '226', '0', '480', '289']
['471', '135', '57', '409', '266', '120', '108', '269', '327', '425']
['257', '443', '203', '453', '445', '238', '394', '114', '101', '218']
['167', '339', '31', '446', '372', '385', '418', '416', '201', '250']
['424', '481', '419', '187', '291', '174', '147', '104', '382', '282']
['153', '29', '273', '279', '33', '455', '27', '475', '136', '84']
['25', '473', '378', '21', '457', '319', '28', '77', '434', '89']
['387', '414', '156', '427', '192', '400', '5', '278', '368', '70']
['219', '254', '64', '494', '404', '493', '224', '304', '346', '237']
['121', '482', '326', '150', '442', '139', '352', '432', '311', '243']
['49', '118', '316', '38', '236', '464', '477', '199', '283', '207']
['142', '152', '373', '324', '479', '430', '166', '235', '489']
['74']
