['345', '394', '399', '63', '694', '428', '723', '250', '717', '511']
['151', '527', '72', '154', '500', '18', '651', '772', '253', '368']
['533', '160', '131', '19', '682', '401', '424', '23', '532', '307']
['454', '312', '544', '542', '362', '214', '541', '173', '93', '105']
['661', '2', '709', '255', '641', '592', '665', '547', '129', '677']
['760', '658', '64', '684', '702', '759', '333', '232', '350', '724']
['756', '311', '303', '480', '776', '535', '509', '294', '793', '515']
['17', '13', '291', '462', '343', '156', '580', '326', '698', '364']
['603', '669', '727', '248', '622', '88', '737', '27', '632', '351']
['342', '339', '153', '614', '309', '147', '65', '620', '588', '97']
['53', '423', '388', '148', '152', '685', '488', '305', '76', '634']
['304', '577', '340', '662', '680', '30', '656', '247', '758', '187']
['419', '71', '479', '272', '126', '751', '591', '407', '789', '158']
['334', '86', '48', '341', '507', '314', '109', '437', '435', '738']
['499', '39', '376', '210', '332', '184', '572', '227', '41', '196']
['98', '4', '25', '82', '281', '174', '438', '373', '538', '564']
['35', '349', '283', '226', '645', '183', '630', '470', '393', '155']
['188', '408', '150', '385', '287', '193', '68', '788', '410', '83']
['217', '252', '355', '316', '107', '94', '257', '699', '356', '243']
['120', '674', '198', '234', '596', '629', '52', '87', '627', '352']
['600', '565', '185', '168', '124', '754', '144', '460', '258', '769']
['482', '589', '403', '643', '492', '125', '371', '442', '635', '178']
['668', '369', '279', '697', '784', '671', '706', '50', '520', '646']
['270', '379', '791', '649', '220', '266', '799', '573', '688', '711']
['742', '790', '55', '466', '222', '529', '502', '797', '725', '239']
['346', '451', '133', '363', '517', '284', '271', '586', '374', '42']
['164', '444', '143', '10', '324', '365', '330', '265', '56', '142']
['118', '400', '730', '204', '768', '177', '617', '231', '554', '510']
['566', '741', '469', '149', '481', '611', '522', '597', '473', '496']
['557', '331', '762', '297', '595', '705', '43', '208', '7', '690']
['753', '679', '167', '132', '301', '594', '114', '748', '582', '112']
['6', '436', '31', '24', '567', '402', '734', '229', '254', '49']
['450', '660', '569', '798', '159', '792', '194', '103', '505', '165']
['455', '650', '366', '101', '237', '623', '732', '395', '413', '736']
['245', '0', '512', '458', '122', '296', '161', '726', '720', '170']
['192', '313', '440', '61', '739', '315', '561', '514', '60', '360']
['221', '743', '559', '763', '601', '695', '536', '484', '246', '139']
['12', '761', '115', '779', '200', '203', '46', '81', '119', '619']
['80', '218', '199', '8', '780', '639', '713', '657', '37', '642']
['467', '320', '575', '472', '16', '560', '180', '487', '667', '673']
['747', '607', '406', '598', '91', '95', '319', '795', '110', '477']
['664', '587', '728', '384', '519', '777', '224', '169', '90', '681']
['775', '778', '66', '537', '570', '137', '409', '625', '377', '636']
['633', '134', '79', '59', '545', '418', '787', '136', '640', '264']
['516', '549', '447', '353', '387', '771', '628', '459', '476', '563']
['783', '506', '286', '576', '141', '422', '672', '22', '251', '624']
['718', '692', '344', '578', '269', '213', '429', '463', '555', '735']
['616', '383', '740', '584', '670', '51', '583', '277', '96', '78']
['219', '411', '179', '757', '495', '553', '189', '581', '613', '209']
['38', '102', '765', '325', '446', '548', '618', '238', '782', '54']
['721', '211', '764', '3', '610', '33', '289', '244', '626', '123']
['675', '653', '390', '367', '21', '417', '121', '398', '733', '666']
['140', '794', '172', '357', '571', '691', '710', '579', '382', '621']
['322', '202', '749', '786', '631', '190', '414', '489', '378', '483']
['386', '485', '543', '526', '84', '212', '701', '5', '457', '230']
['338', '767', '1', '478', '715', '486', '280', '300', '606', '412']
['128', '235', '604', '228', '318', '329', '372', '67', '707', '69']
['693', '638', '162', '745', '687', '186', '117', '113', '593', '448']
['9', '602', '75', '85', '605', '716', '683', '599', '796', '425']
['750', '36', '766', '574', '370', '427', '490', '62', '261', '347']
['263', '259', '752', '546', '508', '292', '416', '275', '503', '654']
['404', '501', '534', '493', '453', '465', '34', '568', '11', '321']
['528', '430', '525', '138', '197', '205', '456', '45', '260', '704']
['176', '434', '612', '441', '755', '550', '99', '268', '273', '182']
['491', '746', '104', '262', '504', '452', '405', '242', '47', '608']
['648', '111', '335', '497', '20', '171', '464', '676', '201', '590']
['551', '57', '267', '77', '426', '276', '781', '431', '348', '195']
['328', '686', '420', '225', '585', '521', '157', '317', '530', '689']
['73', '215', '295', '663', '540', '14', '358', '249', '28', '135']
['461', '106', '421', '308', '443', '375', '32', '432', '703', '712']
['524', '299', '785', '474', '233', '392', '89', '498', '327', '475']
['655', '696', '145', '415', '240', '558', '354', '729', '191', '278']
['293', '166', '146', '216', '494', '539', '609', '302', '337', '722']
['439', '647', '531', '336', '773', '26', '380', '288', '652', '163']
['100', '175', '306', '74', '236', '562', '290', '108', '92', '282']
['719', '130', '285', '518', '471', '396', '556', '513', '181', '731']
['659', '223', '389', '274', '552', '523', '708', '678', '323', '40']
['770', '644', '433', '15', '445', '70', '615', '359', '700', '241']
['298', '774', '116', '29', '468', '361', '207', '256', '58', '449']
['714', '44', '397', '637', '391', '206', '310', '127', '744', '381']
