['50', '235', '444', '111', '410', '71', '499', '73', '440', '119']
['114', '135', '190', '80', '163', '251', '126', '281', '398', '202']
['399', '414', '219', '308', '170', '302', '297', '162', '369', '183']
['93', '148', '230', '286', '210', '165', '122', '7', '89', '236']
['85', '206', '144', '334', '487', '290', '476', '139', '402', '94']
['97', '304', '134', '406', '48', '339', '480', '279', '265', '328']
['132', '465', '416', '375', '469', '37', '101', '371', '453', '86']
['10', '252', '409', '189', '392', '389', '473', '240', '391', '303']
['55', '257', '331', '184', '21', '288', '330', '243', '22', '186']
['168', '382', '199', '372', '364', '460', '427', '12', '44', '246']
['225', '249', '311', '28', '226', '322', '51', '151', '280', '66']
['434', '177', '378', '373', '68', '83', '212', '314', '384', '166']
['4', '142', '401', '231', '98', '360', '239', '161', '118', '494']
['70', '205', '154', '13', '346', '493', '344', '342', '479', '485']
['106', '462', '91', '147', '197', '41', '400', '125', '105', '345']
['18', '109', '19', '408', '475', '223', '383', '412', '174', '343']
['34', '31', '81', '407', '88', '39', '87', '128', '276', '152']
['208', '75', '131', '233', '490', '157', '266', '188', '421', '261']
['377', '309', '58', '217', '60', '368', '497', '160', '422', '285']
['272', '95', '341', '329', '347', '67', '227', '133', '241', '312']
['33', '216', '245', '268', '441', '474', '141', '496', '84', '452']
['153', '338', '420', '492', '59', '113', '150', '116', '47', '404']
['299', '263', '140', '403', '278', '456', '467', '222', '472', '273']
['478', '430', '436', '457', '29', '77', '361', '429', '352', '300']
['370', '8', '82', '367', '301', '78', '127', '107', '43', '337']
['443', '259', '220', '15', '449', '458', '471', '46', '72', '386']
['296', '275', '439', '102', '271', '191', '423', '112', '238', '137']
['76', '14', '323', '353', '486', '491', '437', '362', '64', '182']
['380', '57', '447', '466', '123', '215', '167', '431', '333', '178']
['283', '110', '203', '417', '463', '316', '355', '310', '196', '325']
['237', '376', '426', '214', '211', '484', '292', '40', '224', '26']
['388', '192', '221', '256', '448', '173', '374', '62', '100', '90']
['204', '470', '379', '351', '313', '354', '394', '481', '390', '169']
['242', '185', '363', '155', '495', '287', '498', '49', '483', '32']
['74', '52', '255', '158', '172', '104', '419', '181', '143', '411']
['180', '415', '92', '179', '234', '262', '175', '356', '108', '425']
['433', '387', '445', '213', '176', '295', '138', '194', '320', '393']
['317', '218', '318', '461', '348', '253', '305', '38', '459', '385']
['282', '455', '0', '250', '195', '357', '488', '198', '327', '267']
['340', '6', '366', '381', '248', '36', '260', '69', '9', '54']
['35', '477', '464', '23', '5', '11', '129', '164', '298', '244']
['315', '20', '3', '358', '201', '136', '258', '428', '294', '336']
['229', '395', '24', '324', '193', '159', '438', '145', '17', '121']
['56', '446', '16', '232', '289', '115', '307', '117', '359', '365']
['1', '350', '274', '405', '319', '435', '418', '277', '120', '42']
['200', '30', '482', '489', '65', '171', '53', '228', '25', '103']
['45', '156', '254', '209', '396', '27', '468', '61', '349', '291']
['2', '293', '424', '207', '187', '79', '63', '306', '270', '264']
['450', '149', '146', '321', '442', '432', '247', '124', '99', '332']
['96', '269', '284', '335', '326', '454', '413', '397', '130', '451']
