['202', '764', '668', '163', '63', '28', '905', '576', '87', '17', '460', '485', '894', '459', '286', '287', '809', '80', '646', '280']
['179', '328', '773', '144', '263', '793', '255', '845', '811', '401', '657', '448', '135', '548', '985', '727', '789', '443', '566', '859']
['977', '892', '223', '631', '604', '865', '382', '752', '621', '928', '438', '90', '688', '42', '870', '314', '602', '679', '462', '377']
['741', '561', '395', '785', '780', '487', '310', '757', '213', '140', '766', '980', '713', '380', '77', '56', '761', '510', '157', '578']
['515', '862', '824', '279', '428', '413', '581', '738', '341', '97', '939', '425', '683', '480', '466', '726', '405', '903', '133', '623']
['3', '711', '311', '136', '470', '507', '935', '284', '650', '159', '117', '831', '122', '770', '676', '947', '725', '610', '981', '904']
['873', '938', '92', '914', '288', '57', '539', '706', '689', '923', '922', '541', '45', '999', '889', '265', '612', '198', '619', '72']
['655', '723', '391', '365', '359', '717', '542', '804', '820', '888', '437', '568', '37', '406', '370', '709', '489', '369', '968', '597']
['396', '585', '221', '898', '715', '559', '733', '799', '83', '429', '308', '10', '832', '13', '27', '941', '384', '833', '798', '528']
['801', '521', '857', '663', '712', '39', '386', '433', '954', '697', '121', '106', '575', '795', '665', '392', '85', '100', '340', '440']
['243', '125', '41', '782', '590', '732', '156', '306', '549', '963', '130', '313', '299', '422', '465', '463', '149', '253', '297', '965']
['609', '557', '690', '745', '449', '629', '880', '641', '60', '652', '540', '488', '230', '802', '678', '817', '52', '385', '155', '194']
['390', '181', '708', '180', '916', '813', '169', '884', '589', '527', '5', '55', '190', '640', '913', '571', '79', '837', '976', '266']
['312', '270', '474', '410', '607', '672', '408', '719', '701', '358', '1', '277', '828', '897', '691', '995', '899', '86', '318', '614']
['115', '398', '272', '584', '994', '906', '835', '451', '374', '660', '582', '160', '816', '418', '500', '423', '570', '360', '336', '649']
['148', '684', '204', '895', '545', '484', '241', '242', '58', '107', '592', '152', '978', '471', '330', '441', '962', '964', '23', '244']
['647', '430', '21', '494', '151', '791', '239', '84', '366', '321', '856', '901', '352', '30', '728', '513', '986', '245', '754', '887']
['662', '932', '992', '316', '955', '93', '747', '767', '99', '618', '563', '982', '718', '642', '902', '129', '680', '821', '948', '692']
['842', '283', '231', '956', '591', '538', '319', '908', '909', '103', '523', '739', '825', '36', '882', '9', '271', '803', '258', '477']
