['269', '41', '121', '193', '129', '346', '437', '113', '282', '7']
['460', '301', '306', '444', '314', '488', '65', '453', '214', '10']
['125', '161', '1', '247', '110', '64', '394', '9', '84', '116']
['55', '343', '303', '468', '130', '52', '221', '457', '170', '317']
['178', '183', '80', '431', '497', '151', '91', '493', '289', '278']
['396', '177', '136', '120', '494', '203', '109', '244', '492', '443']
['63', '209', '350', '447', '273', '128', '347', '191', '39', '360']
['481', '212', '138', '71', '176', '107', '349', '223', '495', '137']
['483', '117', '86', '134', '85', '362', '334', '438', '104', '427']
['224', '309', '238', '249', '458', '53', '68', '411', '185', '22']
['102', '132', '377', '420', '371', '319', '234', '313', '370', '337']
['284', '207', '320', '376', '33', '397', '78', '300', '290', '321']
['430', '288', '97', '56', '141', '398', '254', '384', '380', '148']
['263', '96', '197', '379', '79', '229', '335', '158', '323', '77']
['385', '388', '353', '296', '294', '100', '489', '345', '339', '392']
['352', '29', '461', '275', '261', '364', '175', '338', '87', '43']
['333', '83', '473', '20', '195', '383', '243', '474', '19', '201']
['94', '293', '330', '403', '35', '498', '60', '417', '3', '270']
['18', '433', '187', '448', '253', '75', '357', '2', '342', '108']
['412', '45', '348', '16', '180', '442', '101', '155', '181', '285']
['241', '179', '31', '456', '171', '190', '434', '295', '406', '304']
['93', '311', '496', '432', '40', '478', '154', '491', '328', '202']
['98', '272', '54', '331', '464', '405', '160', '163', '167', '135']
['146', '408', '452', '140', '415', '25', '326', '404', '219', '286']
['418', '245', '454', '425', '139', '423', '439', '287', '477', '446']
['451', '119', '487', '459', '276', '368', '256', '413', '469', '165']
['57', '389', '336', '222', '298', '196', '90', '450', '421', '157']
['92', '351', '308', '414', '188', '467', '283', '23', '142', '0']
['484', '166', '13', '49', '449', '6', '428', '299', '211', '61']
['66', '133', '143', '172', '131', '72', '354', '358', '239', '363']
['200', '472', '305', '416', '462', '156', '111', '76', '378', '410']
['382', '11', '26', '124', '226', '70', '307', '297', '246', '89']
['147', '312', '479', '463', '82', '95', '228', '395', '426', '206']
['407', '375', '149', '310', '367', '118', '265', '372', '15', '242']
['115', '144', '369', '4', '103', '292', '38', '419', '262', '184']
['277', '252', '485', '168', '366', '14', '386', '215', '374', '400']
['24', '105', '401', '240', '281', '409', '455', '266', '387', '476']
['208', '198', '46', '475', '324', '106', '402', '174', '470', '225']
['99', '213', '318', '251', '471', '62', '59', '274', '441', '268']
['356', '255', '315', '186', '164', '44', '205', '12', '73', '5']
['153', '233', '231', '435', '436', '162', '259', '482', '112', '267']
['445', '32', '230', '329', '199', '465', '145', '390', '88', '264']
['48', '399', '114', '344', '279', '257', '17', '302', '381', '194']
['69', '122', '393', '150', '316', '466', '51', '391', '169', '27']
['42', '81', '236', '126', '235', '440', '490', '159', '322', '280']
['373', '237', '355', '361', '36', '271', '258', '189', '291', '327']
['152', '232', '204', '340', '499', '325', '67', '182', '248', '28']
['227', '220', '365', '260', '332', '8', '486', '37', '216', '424']
['218', '123', '47', '422', '58', '192', '21', '359', '480', '250']
['429', '127', '173', '217', '34', '341', '210', '30', '74', '50']
