['266', '103', '423', '286', '41', '250', '339', '256', '485', '302', '114', '56', '444', '415', '434', '155', '254', '55', '476', '105', '242', '414', '1', '120', '403']
['220', '39', '368', '51', '360', '316', '24', '431', '0', '203', '43', '195', '491', '81', '42', '489', '210', '356', '439', '74', '448', '80', '158', '324', '309']
['101', '456', '338', '2', '216', '466', '207', '285', '86', '299', '336', '238', '196', '173', '18', '19', '334', '183', '240', '84', '428', '13', '484', '145', '472']
['47', '351', '474', '350', '235', '171', '217', '197', '296', '92', '212', '90', '357', '383', '381', '172', '215', '14', '478', '65', '27', '29', '69', '312', '122']
['463', '354', '239', '11', '263', '91', '284', '248', '70', '265', '89', '441', '406', '255', '409', '50', '151', '75', '160', '176', '297', '410', '391', '329', '340']
['67', '492', '25', '107', '142', '10', '23', '177', '126', '313', '451', '305', '201', '95', '416', '218', '79', '98', '54', '116', '227', '461', '37', '194', '396']
['88', '119', '377', '170', '152', '46', '287', '163', '481', '85', '6', '237', '249', '319', '455', '221', '259', '260', '437', '358', '401', '422', '417', '161', '138']
['267', '279', '348', '289', '127', '479', '454', '483', '113', '140', '68', '378', '271', '167', '40', '71', '477', '346', '153', '35', '38', '204', '64', '52', '373']
['222', '385', '31', '268', '236', '290', '486', '323', '464', '181', '208', '394', '243', '380', '301', '292', '364', '321', '447', '112', '169', '247', '12', '303', '453']
['58', '200', '261', '165', '246', '17', '104', '370', '320', '495', '205', '214', '352', '426', '229', '190', '270', '159', '487', '435', '438', '102', '198', '62', '225']
['76', '471', '20', '458', '353', '294', '493', '446', '7', '362', '465', '131', '272', '361', '280', '277', '333', '388', '231', '44', '32', '99', '179', '482', '178']
['473', '402', '281', '366', '184', '106', '386', '182', '382', '459', '488', '276', '374', '117', '130', '404', '77', '129', '445', '109', '457', '436', '191', '93', '30']
['430', '199', '258', '168', '314', '469', '462', '96', '387', '97', '419', '146', '192', '278', '413', '128', '342', '36', '293', '82', '349', '307', '328', '185', '186']
['108', '262', '310', '322', '405', '390', '300', '499', '230', '60', '345', '9', '291', '174', '94', '5', '156', '398', '134', '16', '175', '209', '245', '375', '344']
['73', '311', '318', '407', '234', '308', '392', '26', '211', '429', '367', '57', '132', '432', '372', '341', '440', '337', '157', '497', '166', '288', '496', '66', '304']
['449', '395', '63', '369', '468', '53', '162', '124', '123', '326', '295', '452', '424', '4', '48', '147', '467', '241', '257', '418', '332', '412', '189', '371', '306']
['251', '28', '490', '22', '355', '433', '180', '384', '100', '154', '283', '331', '141', '274', '135', '150', '149', '224', '187', '137', '494', '443', '144', '244', '427']
['359', '420', '475', '8', '133', '450', '330', '343', '232', '143', '213', '264', '226', '202', '408', '389', '393', '252', '188', '480', '470', '282', '421', '164', '275']
['298', '33', '335', '400', '425', '233', '399', '376', '206', '498', '111', '327', '273', '442', '219', '317', '460', '15', '83', '115', '59', '3', '49', '136', '121']
['325', '125', '315', '397', '118', '34', '72', '379', '347', '21', '253', '411', '148', '193', '45', '87', '61', '269', '365', '223', '78', '139', '110', '363', '228']
