['513', '434', '515', '412', '658', '443', '547', '746', '28', '378', '726', '787', '563', '12', '335', '249', '41', '32', '91', '436', '791', '686', '75', '174', '236', '171', '767', '719', '62', '272', '786', '452']
['682', '8', '193', '125', '405', '656', '302', '457', '616', '701', '59', '428', '180', '654', '538', '384', '511', '613', '216', '7', '614', '13', '449', '751', '553', '239', '219', '673', '444', '6', '757', '14']
['706', '446', '233', '163', '108', '634', '157', '679', '476', '429', '204', '715', '542', '794', '497', '462', '660', '778', '63', '68', '480', '9', '557', '373', '317', '356', '138', '53', '235', '106', '45', '34']
['768', '662', '97', '555', '231', '500', '638', '294', '410', '573', '633', '572', '43', '431', '229', '595', '733', '708', '390', '310', '503', '40', '246', '260', '285', '559', '176', '629', '521', '38', '359', '508']
['594', '319', '240', '419', '599', '315', '592', '676', '397', '324', '304', '628', '775', '647', '355', '581', '718', '416', '799', '247', '709', '551', '520', '477', '192', '117', '423', '313', '725', '506', '657', '281']
['456', '578', '565', '645', '713', '571', '691', '666', '756', '340', '646', '650', '175', '683', '330', '675', '4', '765', '704', '54', '261', '113', '602', '552', '215', '535', '732', '590', '685', '451', '90', '631']
['259', '56', '498', '777', '206', '758', '531', '50', '98', '234', '407', '93', '332', '499', '760', '280', '604', '541', '181', '699', '24', '111', '724', '396', '795', '127', '242', '271', '78', '700', '265', '642']
['543', '21', '336', '18', '273', '276', '474', '307', '344', '291', '738', '759', '139', '278', '349', '781', '329', '689', '670', '664', '140', '711', '89', '550', '627', '784', '382', '119', '354', '168', '223', '84']
['722', '659', '782', '621', '325', '524', '584', '177', '556', '530', '435', '399', '615', '674', '548', '417', '114', '172', '237', '133', '496', '293', '453', '586', '208', '164', '251', '504', '196', '418', '401', '29']
['36', '720', '702', '403', '792', '16', '346', '735', '26', '61', '783', '723', '440', '677', '121', '471', '362', '626', '15', '143', '27', '279', '137', '66', '463', '318', '721', '523', '243', '80', '510', '372']
['529', '77', '19', '639', '376', '72', '635', '186', '150', '99', '600', '539', '102', '482', '641', '644', '295', '191', '481', '132', '796', '736', '92', '81', '124', '693', '597', '364', '82', '392', '564', '540']
['400', '712', '60', '729', '183', '526', '327', '601', '797', '414', '232', '88', '130', '368', '120', '301', '793', '374', '198', '487', '20', '226', '309', '618', '610', '275', '705', '669', '267', '312', '567', '383']
['445', '11', '744', '136', '297', '490', '761', '331', '612', '250', '617', '569', '152', '212', '558', '640', '398', '46', '369', '587', '156', '367', '672', '753', '343', '55', '514', '439', '596', '763', '714', '707']
['512', '142', '460', '492', '22', '79', '438', '241', '458', '386', '253', '668', '750', '485', '494', '605', '200', '52', '779', '424', '197', '269', '345', '697', '222', '220', '151', '717', '409', '598', '505', '112']
['522', '110', '491', '518', '141', '104', '274', '608', '105', '549', '225', '377', '103', '209', '395', '347', '747', '519', '483', '727', '422', '262', '798', '692', '210', '167', '184', '322', '421', '266', '149', '406']
['681', '162', '470', '87', '2', '10', '468', '308', '570', '625', '366', '238', '525', '109', '665', '671', '165', '411', '437', '690', '337', '773', '218', '536', '651', '282', '380', '687', '158', '217', '425', '205']
['739', '630', '83', '661', '663', '270', '479', '189', '202', '365', '221', '545', '128', '71', '454', '290', '5', '363', '509', '667', '623', '788', '86', '286', '115', '731', '591', '603', '154', '607', '728', '85']
['126', '430', '577', '501', '450', '326', '258', '703', '375', '107', '393', '245', '637', '69', '752', '749', '169', '334', '194', '49', '774', '146', '352', '342', '385', '413', '516', '643', '381', '213', '478', '789']
['696', '39', '144', '328', '624', '741', '619', '289', '743', '228', '609', '593', '432', '178', '101', '353', '469', '44', '785', '207', '255', '582', '575', '448', '161', '65', '339', '370', '357', '653', '350', '179']
['574', '527', '0', '562', '188', '147', '48', '684', '441', '263', '730', '698', '764', '464', '606', '790', '17', '517', '495', '754', '655', '766', '415', '544', '710', '284', '316', '256', '145', '546', '182', '227']
['507', '314', '387', '780', '185', '320', '199', '588', '371', '461', '96', '116', '333', '303', '361', '323', '771', '190', '426', '465', '166', '740', '195', '42', '695', '772', '442', '534', '35', '148', '688', '76']
['244', '648', '583', '287', '433', '537', '224', '292', '447', '134', '488', '742', '402', '311', '554', '473', '187', '283', '589', '341', '580', '467', '288', '636', '95', '300', '459', '33', '306', '100', '170', '678']
['70', '579', '389', '277', '776', '30', '486', '755', '230', '67', '484', '203', '493', '131', '652', '379', '248', '135', '622', '94', '472', '338', '466', '268', '252', '155', '57', '64', '585', '680', '160', '254']
['576', '214', '358', '3', '118', '694', '298', '388', '455', '264', '568', '502', '532', '475', '58', '769', '173', '25', '716', '51', '391', '123', '762', '211', '611', '129', '734', '257', '201', '37', '737', '47']
['122', '351', '745', '159', '566', '404', '296', '1', '360', '632', '770', '23', '299', '153', '420', '31', '394', '489', '533', '348', '528', '620', '305', '427', '748', '408', '73', '561', '321', '74', '649', '560']
