['372', '198', '318', '447', '82', '531', '331', '614', '688', '666', '427', '557', '478', '624', '445', '617', '655', '645', '490', '426', '487', '583', '186', '442', '521', '496', '504', '697', '262', '350', '293', '91', '488', '562', '48', '629', '373', '210', '436', '284', '498', '116', '535', '170', '265', '534', '596', '520', '423', '613']
['685', '441', '99', '388', '510', '587', '313', '181', '365', '123', '302', '458', '121', '169', '289', '228', '681', '26', '540', '124', '363', '104', '338', '129', '513', '724', '434', '675', '413', '16', '525', '580', '491', '127', '85', '433', '390', '30', '238', '267', '420', '188', '199', '698', '159', '569', '92', '622', '419', '261']
['619', '194', '515', '608', '726', '150', '542', '713', '207', '516', '274', '329', '522', '216', '5', '683', '161', '29', '378', '680', '670', '290', '408', '565', '342', '472', '280', '452', '641', '165', '582', '468', '197', '131', '118', '555', '333', '637', '146', '6', '598', '162', '503', '66', '643', '37', '689', '19', '27', '130']
['24', '28', '248', '512', '397', '386', '432', '132', '263', '356', '720', '287', '640', '429', '387', '656', '109', '425', '539', '219', '40', '621', '721', '279', '500', '208', '304', '659', '106', '229', '52', '69', '108', '552', '551', '136', '725', '223', '135', '455', '128', '178', '295', '616', '438', '185', '631', '144', '153', '277']
['355', '530', '224', '225', '369', '222', '344', '384', '417', '139', '323', '36', '361', '428', '414', '646', '456', '628', '73', '708', '662', '638', '173', '672', '332', '465', '658', '454', '61', '299', '577', '416', '87', '469', '574', '461', '367', '589', '67', '96', '298', '603', '348', '601', '677', '256', '719', '548', '168', '660']
['76', '226', '722', '553', '639', '406', '296', '240', '237', '63', '590', '266', '46', '623', '9', '451', '507', '42', '430', '374', '561', '391', '339', '556', '234', '328', '235', '252', '155', '642', '31', '400', '634', '38', '138', '22', '358', '273', '476', '8', '321', '652', '300', '692', '221', '209', '741', '100', '743', '377']
['597', '166', '399', '410', '702', '383', '51', '366', '543', '133', '196', '126', '120', '203', '457', '734', '405', '479', '727', '307', '72', '205', '212', '310', '250', '119', '560', '466', '176', '449', '281', '712', '84', '474', '593', '230', '260', '462', '314', '215', '105', '524', '571', '286', '172', '288', '470', '450', '65', '311']
['242', '415', '497', '94', '79', '453', '360', '319', '354', '93', '291', '247', '437', '653', '33', '424', '464', '749', '579', '651', '567', '115', '402', '227', '231', '74', '599', '278', '647', '591', '320', '88', '407', '182', '191', '64', '728', '439', '693', '7', '610', '412', '463', '45', '700', '125', '684', '41', '58', '303']
['326', '481', '492', '396', '77', '345', '694', '667', '102', '588', '536', '180', '59', '211', '389', '671', '409', '421', '382', '633', '171', '341', '148', '271', '10', '586', '740', '149', '117', '349', '618', '627', '315', '259', '385', '232', '268', '17', '47', '657', '729', '103', '217', '184', '236', '192', '152', '145', '620', '254']
['189', '541', '233', '578', '533', '147', '327', '23', '566', '483', '244', '167', '258', '376', '113', '175', '335', '668', '143', '649', '475', '337', '49', '742', '187', '142', '744', '506', '1', '508', '529', '239', '206', '732', '156', '249', '245', '699', '473', '34', '297', '292', '15', '12', '270', '20', '717', '418', '202', '114']
['86', '183', '62', '101', '716', '70', '381', '723', '484', '246', '563', '264', '71', '200', '44', '573', '558', '362', '547', '352', '218', '482', '650', '98', '111', '477', '193', '538', '351', '595', '584', '459', '404', '705', '324', '554', '626', '585', '747', '731', '707', '706', '635', '301', '594', '163', '359', '251', '403', '57']
['137', '615', '435', '663', '43', '50', '368', '89', '676', '711', '68', '501', '380', '204', '54', '214', '572', '243', '730', '532', '669', '526', '486', '570', '448', '665', '336', '611', '691', '527', '517', '122', '704', '330', '107', '379', '745', '294', '3', '575', '739', '682', '334', '2', '257', '564', '505', '609', '737', '674']
['4', '398', '253', '735', '703', '90', '443', '444', '733', '371', '612', '141', '559', '493', '648', '269', '701', '0', '305', '440', '460', '347', '509', '602', '679', '502', '401', '544', '164', '357', '276', '748', '370', '644', '746', '511', '686', '600', '343', '95', '353', '607', '134', '710', '11', '736', '158', '75', '687', '695']
['195', '519', '53', '306', '201', '275', '690', '411', '394', '21', '309', '545', '60', '661', '140', '18', '514', '467', '485', '35', '528', '25', '177', '549', '285', '632', '422', '489', '581', '576', '375', '78', '112', '340', '179', '174', '83', '523', '154', '392', '606', '605', '636', '255', '715', '709', '14', '499', '220', '308']
['317', '480', '446', '494', '393', '190', '678', '282', '537', '97', '471', '81', '718', '495', '550', '110', '346', '213', '673', '151', '654', '325', '55', '431', '39', '696', '664', '592', '283', '568', '395', '157', '32', '56', '80', '625', '322', '714', '316', '241', '630', '518', '738', '604', '160', '364', '546', '312', '13', '272']
