['345', '438', '190', '60', '228', '242', '475', '227', '433', '166', '352', '247', '129', '319', '365', '278', '70', '303', '441', '137', '495', '93', '220', '344', '268']
['360', '196', '207', '213', '62', '265', '422', '305', '369', '263', '167', '28', '236', '237', '302', '10', '17', '104', '306', '329', '95', '427', '428', '298', '321']
['378', '151', '119', '243', '43', '408', '184', '287', '253', '212', '463', '470', '281', '312', '452', '464', '371', '425', '47', '275', '153', '31', '197', '250', '368']
['299', '488', '314', '379', '295', '340', '64', '102', '389', '128', '290', '370', '32', '85', '199', '67', '73', '19', '417', '415', '55', '461', '373', '394', '248']
['309', '80', '174', '106', '76', '148', '374', '261', '101', '331', '126', '94', '230', '234', '206', '96', '474', '339', '251', '454', '402', '36', '136', '320', '154']
['26', '362', '214', '195', '401', '443', '286', '29', '147', '448', '112', '399', '171', '254', '367', '134', '412', '353', '219', '256', '123', '24', '91', '114', '271']
['241', '211', '403', '277', '445', '161', '131', '283', '479', '482', '98', '97', '334', '351', '156', '146', '330', '68', '38', '270', '437', '409', '5', '132', '483']
['416', '182', '310', '22', '393', '116', '363', '33', '313', '316', '459', '348', '40', '442', '176', '262', '202', '308', '188', '99', '162', '222', '88', '446', '21']
['8', '72', '484', '406', '51', '400', '118', '294', '359', '383', '81', '382', '240', '343', '336', '187', '3', '361', '380', '16', '160', '494', '447', '436', '404']
['338', '317', '78', '35', '152', '113', '122', '489', '272', '149', '260', '301', '1', '381', '440', '86', '205', '346', '451', '391', '398', '150', '420', '120', '157']
['13', '423', '194', '133', '130', '469', '57', '59', '173', '175', '390', '347', '476', '42', '164', '56', '388', '430', '163', '266', '201', '426', '52', '455', '185']
['453', '490', '372', '191', '315', '63', '421', '392', '141', '477', '493', '61', '37', '350', '198', '14', '318', '467', '54', '432', '4', '210', '117', '44', '264']
['144', '103', '349', '121', '491', '135', '181', '92', '23', '79', '252', '450', '246', '169', '18', '485', '480', '337', '259', '292', '225', '457', '414', '109', '478']
['203', '274', '396', '465', '413', '142', '472', '424', '77', '333', '20', '65', '177', '356', '431', '328', '341', '12', '285', '311', '282', '449', '192', '139', '53']
['34', '279', '71', '159', '232', '284', '481', '155', '90', '377', '27', '460', '466', '50', '405', '395', '172', '429', '419', '233', '499', '487', '296', '293', '327']
['9', '11', '462', '238', '397', '204', '223', '335', '355', '226', '46', '74', '280', '66', '189', '216', '332', '324', '498', '289', '458', '358', '291', '111', '0']
['244', '300', '249', '89', '297', '473', '69', '357', '6', '235', '258', '229', '364', '435', '82', '267', '273', '168', '58', '239', '180', '385', '200', '2', '384']
['105', '209', '208', '439', '45', '245', '124', '7', '186', '107', '39', '304', '366', '496', '25', '231', '411', '170', '387', '127', '143', '193', '158', '375', '30']
['307', '456', '468', '165', '224', '326', '221', '269', '255', '49', '100', '471', '75', '434', '217', '418', '410', '497', '125', '179', '386', '178', '48', '108', '41']
['492', '138', '288', '323', '325', '486', '215', '110', '218', '140', '276', '87', '444', '376', '83', '257', '15', '322', '183', '407', '115', '84', '342', '145', '354']
