['368', '456', '770', '196', '139', '965', '72', '905', '994', '227', '534', '136', '9', '27', '516', '317', '899', '31', '466', '613']
['259', '843', '974', '444', '838', '491', '464', '410', '214', '784', '247', '525', '704', '361', '226', '13', '858', '200', '88', '577']
['426', '723', '350', '597', '669', '267', '746', '910', '954', '92', '737', '371', '79', '22', '26', '45', '120', '211', '806', '458']
['959', '221', '966', '692', '77', '431', '928', '308', '385', '447', '690', '812', '397', '58', '552', '284', '34', '835', '483', '457']
['881', '146', '565', '961', '506', '70', '108', '422', '76', '662', '318', '51', '984', '408', '753', '719', '103', '973', '851', '67']
['955', '28', '589', '352', '323', '215', '375', '462', '809', '266', '279', '860', '509', '683', '199', '786', '484', '258', '874', '528']
['916', '264', '0', '953', '49', '446', '233', '793', '439', '500', '848', '595', '768', '603', '842', '738', '925', '727', '735', '977']
['582', '828', '145', '645', '781', '133', '845', '48', '171', '783', '766', '32', '320', '963', '775', '130', '640', '717', '185', '228']
['648', '553', '468', '86', '970', '950', '384', '234', '720', '56', '837', '192', '236', '183', '728', '888', '250', '644', '532', '622']
['886', '847', '776', '829', '153', '550', '689', '321', '448', '87', '20', '987', '445', '21', '373', '212', '404', '438', '209', '348']
['630', '489', '862', '261', '878', '657', '821', '533', '340', '81', '559', '625', '418', '561', '47', '485', '43', '632', '854', '826']
['544', '986', '660', '805', '915', '349', '277', '917', '600', '420', '706', '540', '545', '140', '807', '166', '800', '175', '80', '460']
['327', '960', '586', '857', '155', '429', '495', '294', '427', '205', '519', '502', '802', '381', '507', '646', '272', '687', '758', '769']
['143', '751', '245', '537', '598', '819', '455', '114', '951', '2', '718', '512', '298', '270', '187', '734', '474', '107', '440', '682']
['287', '804', '937', '341', '560', '572', '33', '555', '278', '818', '473', '693', '66', '407', '496', '64', '554', '478', '785', '680']
['159', '992', '921', '231', '149', '714', '969', '606', '15', '38', '392', '399', '840', '513', '419', '154', '59', '652', '303', '144']
['197', '979', '679', '983', '911', '433', '242', '967', '359', '566', '936', '216', '180', '313', '285', '671', '328', '701', '574', '564']
['207', '677', '580', '217', '557', '576', '402', '808', '522', '931', '104', '568', '594', '95', '178', '715', '593', '170', '330', '543']
['981', '432', '237', '127', '75', '989', '232', '239', '661', '83', '740', '417', '497', '377', '903', '152', '940', '16', '41', '253']
['515', '335', '225', '736', '151', '391', '588', '900', '97', '304', '360', '975', '798', '995', '584', '324', '475', '19', '567', '413']
['712', '708', '487', '347', '621', '346', '406', '869', '470', '354', '271', '511', '390', '934', '993', '198', '604', '281', '179', '587']
['46', '932', '767', '788', '366', '315', '748', '235', '10', '71', '933', '799', '382', '336', '755', '244', '437', '792', '796', '331']
['203', '764', '923', '210', '358', '490', '314', '941', '841', '535', '486', '353', '386', '498', '39', '997', '877', '918', '991', '480']
['24', '141', '782', '265', '82', '126', '943', '479', '297', '388', '985', '224', '982', '364', '673', '5', '453', '492', '499', '69']
['494', '762', '907', '52', '505', '752', '374', '241', '938', '471', '789', '292', '647', '592', '172', '189', '230', '813', '425', '601']
['678', '405', '571', '138', '972', '832', '531', '896', '836', '811', '204', '450', '636', '694', '477', '50', '827', '161', '624', '914']
['709', '89', '299', '935', '863', '367', '608', '801', '749', '676', '36', '942', '167', '240', '150', '218', '117', '705', '527', '541']
['944', '23', '659', '182', '686', '91', '849', '112', '206', '774', '53', '778', '733', '11', '174', '60', '4', '633', '403', '945']
['111', '176', '526', '548', '885', '316', '63', '602', '260', '96', '779', '452', '663', '118', '741', '345', '157', '650', '750', '654']
['93', '726', '558', '763', '998', '362', '223', '617', '102', '542', '759', '634', '675', '351', '255', '780', '338', '465', '160', '697']
['637', '618', '865', '672', '421', '891', '599', '156', '256', '716', '653', '398', '707', '605', '895', '396', '520', '619', '879', '333']
['929', '810', '162', '665', '363', '773', '546', '901', '177', '434', '68', '110', '962', '30', '956', '892', '454', '273', '861', '319']
['585', '343', '823', '101', '579', '94', '846', '631', '761', '222', '530', '674', '251', '830', '866', '924', '725', '312', '731', '213']
['311', '329', '430', '125', '305', '698', '864', '702', '276', '302', '493', '25', '65', '334', '524', '743', '713', '342', '850', '252']
['777', '651', '365', '852', '443', '442', '628', '514', '670', '610', '84', '463', '121', '220', '939', '739', '897', '627', '501', '441']
['834', '469', '920', '703', '113', '952', '55', '518', '871', '14', '412', '379', '523', '100', '356', '844', '658', '147', '296', '930']
['129', '355', '856', '219', '529', '78', '295', '797', '710', '148', '306', '280', '629', '395', '517', '794', '510', '54', '6', '3']
['906', '957', '894', '685', '547', '868', '8', '300', '472', '853', '578', '902', '269', '551', '948', '249', '893', '1', '168', '831']
['873', '202', '37', '293', '451', '908', '275', '310', '195', '922', '42', '889', '309', '817', '667', '612', '919', '378', '949', '184']
['124', '722', '664', '691', '301', '615', '859', '549', '370', '449', '642', '913', '461', '416', '173', '876', '7', '503', '887', '415']
['128', '639', '711', '820', '870', '946', '573', '376', '369', '40', '132', '616', '488', '201', '372', '337', '194', '229', '165', '521']
['387', '268', '325', '575', '414', '884', '158', '926', '274', '35', '947', '193', '116', '357', '282', '656', '822', '476', '137', '611']
['882', '262', '135', '44', '696', '538', '620', '563', '288', '699', '99', '968', '481', '263', '536', '700', '539', '814', '655', '467']
['825', '380', '695', '833', '815', '688', '85', '61', '681', '855', '839', '428', '958', '635', '867', '190', '435', '570', '756', '17']
['109', '721', '999', '803', '980', '62', '339', '927', '188', '90', '883', '990', '583', '607', '142', '332', '257', '409', '724', '164']
['898', '971', '744', '638', '747', '890', '591', '459', '18', '964', '283', '134', '996', '322', '326', '556', '74', '57', '742', '978']
['411', '795', '191', '765', '423', '290', '394', '186', '666', '248', '562', '115', '787', '344', '771', '760', '98', '105', '772', '307']
['119', '649', '732', '912', '609', '254', '286', '904', '668', '246', '880', '729', '626', '875', '909', '482', '289', '73', '684', '243']
['29', '569', '581', '122', '641', '131', '12', '424', '208', '436', '590', '824', '508', '504', '745', '181', '730', '169', '872', '988']
['123', '400', '291', '791', '976', '401', '623', '383', '106', '757', '393', '643', '614', '790', '754', '389', '163', '816', '596', '238']
