['768', '599', '372', '145', '811']
['239', '527', '48', '219', '889']
['520', '877', '47', '428', '933']
['968', '294', '29', '625', '835']
['432', '831', '819', '607', '209']
['146', '934', '308', '310', '191']
['571', '589', '661', '445', '483']
['61', '470', '942', '222', '418']
['505', '839', '950', '258', '33']
['337', '107', '805', '928', '792']
['894', '444', '593', '821', '255']
['639', '50', '451', '231', '850']
['882', '381', '284', '322', '509']
['248', '502', '10', '518', '575']
['127', '223', '512', '738', '300']
['742', '463', '728', '896', '128']
['993', '9', '966', '213', '455']
['550', '898', '920', '785', '622']
['238', '197', '999', '694', '954']
['193', '194', '585', '55', '662']
['480', '382', '441', '827', '828']
['162', '700', '524', '288', '730']
['923', '133', '262', '688', '667']
['31', '881', '387', '184', '601']
['709', '177', '466', '530', '7']
['497', '270', '856', '49', '492']
['409', '417', '834', '642', '766']
['643', '620', '408', '40', '537']
['695', '647', '885', '91', '841']
['801', '826', '305', '969', '423']
['893', '848', '172', '566', '760']
['345', '259', '494', '699', '411']
['693', '87', '910', '659', '777']
['762', '420', '526', '175', '327']
['979', '615', '73', '683', '352']
['19', '427', '759', '165', '549']
['425', '883', '648', '919', '70']
['922', '556', '685', '216', '723']
['678', '782', '925', '676', '727']
['719', '871', '472', '776', '313']
['577', '314', '279', '906', '660']
['679', '937', '367', '519', '17']
['338', '798', '290', '123', '292']
['407', '654', '586', '658', '997']
['228', '863', '212', '523', '431']
['379', '729', '120', '996', '148']
['749', '448', '493', '865', '837']
['142', '904', '802', '469', '84']
['62', '624', '35', '651', '389']
['832', '186', '335', '332', '991']
['43', '902', '803', '854', '395']
['461', '200', '846', '26', '110']
['888', '41', '674', '774', '157']
['28', '650', '66', '590', '665']
['744', '594', '341', '328', '293']
['111', '775', '72', '150', '199']
['12', '495', '870', '843', '892']
['558', '23', '192', '845', '196']
['247', '298', '353', '576', '393']
['104', '149', '570', '443', '312']
['900', '579', '15', '713', '141']
['847', '386', '644', '567', '385']
['446', '552', '858', '984', '257']
['795', '375', '433', '628', '609']
['182', '237', '990', '325', '301']
['137', '442', '825', '394', '202']
['765', '533', '267', '924', '412']
['436', '964', '140', '978', '161']
['563', '772', '758', '952', '797']
['234', '541', '366', '282', '235']
['812', '739', '179', '875', '836']
['857', '618', '587', '473', '664']
['737', '373', '278', '93', '752']
['79', '476', '874', '45', '631']
['786', '125', '998', '405', '936']
['602', '824', '11', '553', '914']
['769', '994', '189', '522', '185']
['930', '866', '459', '299', '253']
['166', '974', '287', '424', '467']
['610', '214', '918', '859', '691']
['14', '992', '517', '861', '440']
['349', '988', '44', '608', '498']
['929', '482', '838', '266', '770']
['696', '564', '403', '879', '767']
['748', '986', '987', '421', '743']
['779', '726', '595', '240', '101']
['851', '503', '250', '717', '810']
['358', '867', '953', '116', '317']
['67', '652', '122', '83', '886']
['557', '477', '778', '263', '544']
['283', '210', '745', '227', '275']
['808', '816', '697', '254', '559']
['430', '876', '668', '383', '437']
['592', '1', '460', '113', '849']
['242', '153', '645', '134', '724']
['100', '598', '462', '588', '124']
['54', '584', '689', '378', '500']
['581', '975', '30', '410', '121']
['670', '516', '932', '716', '540']
['884', '359', '917', '555', '435']
['187', '114', '712', '126', '174']
['81', '311', '190', '457', '488']
['154', '340', '935', '484', '741']
['144', '274', '732', '720', '789']
['304', '475', '940', '809', '962']
['496', '807', '490', '671', '201']
['844', '485', '98', '855', '546']
['419', '90', '285', '60', '669']
['746', '790', '139', '945', '959']
['915', '673', '224', '399', '454']
['364', '714', '86', '400', '663']
['57', '53', '74', '701', '207']
['637', '309', '486', '268', '636']
['864', '198', '970', '501', '348']
['600', '612', '303', '296', '616']
['336', '52', '260', '37', '163']
['965', '56', '38', '692', '450']
['422', '291', '22', '458', '351']
['630', '261', '702', '562', '506']
['632', '721', '316', '388', '376']
['715', '339', '569', '747', '306']
['912', '465', '368', '613', '793']
['478', '416', '456', '757', '205']
['916', '18', '167', '614', '596']
['108', '82', '672', '521', '138']
['640', '597', '226', '718', '152']
['95', '344', '817', '487', '396']
['434', '578', '229', '246', '890']
['92', '818', '402', '281', '315']
['927', '868', '529', '20', '780']
['842', '853', '355', '406', '869']
['51', '536', '342', '159', '572']
['89', '686', '513', '938', '913']
['619', '147', '117', '269', '633']
['545', '822', '830', '156', '675']
['80', '872', '534', '243', '8']
['34', '489', '102', '195', '77']
['204', '976', '751', '754', '681']
['236', '249', '59', '629', '447']
['690', '392', '939', '363', '735']
['583', '508', '623', '634', '109']
['143', '551', '103', '677', '346']
['78', '682', '158', '3', '582']
['188', '528', '511', '833', '804']
['6', '180', '245', '903', '961']
['63', '989', '106', '97', '515']
['181', '815', '680', '481', '604']
['561', '820', '343', '429', '753']
['96', '16', '611', '980', '899']
['362', '404', '657', '860', '380']
['788', '539', '438', '878', '806']
['21', '256', '115', '173', '330']
['926', '464', '176', '981', '547']
['591', '318', '354', '983', '921']
['800', '973', '221', '666', '289']
['907', '514', '773', '414', '943']
['323', '129', '787', '397', '24']
['474', '324', '211', '684', '510']
['706', '705', '957', '909', '794']
['606', '132', '538', '931', '272']
['908', '948', '371', '206', '880']
['169', '252', '390', '331', '136']
['203', '244', '565', '731', '627']
['887', '350', '796', '468', '85']
['722', '426', '638', '479', '164']
['105', '897', '531', '960', '377']
['356', '39', '27', '168', '985']
['217', '947', '307', '656', '761']
['941', '449', '840', '88', '94']
['703', '755', '791', '646', '357']
['491', '967', '276', '653', '823']
['297', '334', '326', '0', '251']
['532', '76', '171', '36', '574']
['4', '215', '525', '329', '951']
['617', '499', '65', '649', '230']
['302', '453', '13', '736', '265']
['958', '25', '218', '225', '64']
['814', '784', '264', '5', '452']
['46', '273', '130', '956', '535']
['369', '232', '813', '233', '286']
['946', '208', '781', '543', '982']
