['53', '264', '530', '691', '920', '896', '122', '109', '597', '4', '461', '321', '174', '94', '95', '78', '431', '5', '596', '320', '98', '945', '301', '625', '339', '391', '886', '875', '424', '552', '252', '195']
['833', '356', '107', '640', '390', '607', '924', '307', '494', '110', '958', '501', '797', '211', '70', '537', '142', '292', '727', '381', '627', '517', '928', '831', '882', '164', '465', '940', '145', '603', '571', '100']
['23', '91', '397', '837', '847', '295', '726', '904', '668', '172', '337', '115', '226', '575', '502', '84', '894', '223', '416', '706', '298', '204', '400', '716', '203', '745', '419', '795', '65', '254', '838', '917']
['737', '412', '954', '610', '300', '489', '50', '902', '389', '22', '876', '507', '133', '947', '493', '262', '349', '471', '296', '220', '425', '396', '500', '851', '73', '89', '829', '85', '733', '467', '208', '8']
['700', '338', '556', '234', '379', '6', '269', '563', '783', '613', '347', '938', '676', '485', '639', '505', '655', '118', '154', '921', '421', '814', '104', '548', '760', '643', '549', '821', '698', '535', '71', '888']
['138', '784', '804', '57', '17', '198', '119', '617', '675', '865', '365', '580', '40', '524', '605', '712', '158', '439', '555', '736', '215', '491', '464', '619', '30', '629', '768', '869', '444', '684', '510', '816']
['56', '191', '573', '874', '786', '398', '880', '678', '270', '891', '359', '114', '253', '437', '496', '267', '192', '775', '631', '724', '38', '835', '732', '200', '702', '286', '79', '558', '316', '630', '561', '405']
['584', '430', '559', '108', '217', '273', '483', '129', '146', '143', '13', '42', '495', '477', '661', '3', '279', '677', '551', '141', '360', '334', '168', '406', '942', '60', '656', '265', '384', '62', '701', '312']
['872', '120', '848', '2', '209', '348', '710', '51', '422', '516', '671', '319', '713', '20', '237', '463', '959', '761', '614', '278', '748', '762', '853', '261', '778', '446', '221', '219', '328', '447', '345', '660']
['609', '358', '354', '344', '136', '35', '664', '27', '815', '588', '81', '850', '363', '515', '531', '709', '451', '16', '941', '124', '445', '738', '86', '866', '479', '351', '536', '297', '194', '1', '193', '641']
['25', '19', '317', '482', '218', '281', '564', '817', '458', '860', '408', '568', '718', '291', '593', '839', '376', '653', '543', '741', '63', '949', '327', '615', '805', '324', '533', '721', '948', '466', '649', '885']
['240', '740', '185', '704', '374', '781', '58', '550', '746', '480', '633', '276', '749', '245', '834', '881', '303', '233', '867', '105', '803', '275', '121', '369', '595', '827', '939', '64', '895', '908', '32', '132']
['487', '935', '92', '43', '343', '842', '355', '887', '361', '512', '764', '476', '74', '197', '527', '364', '899', '367', '457', '453', '488', '929', '473', '836', '293', '813', '925', '69', '826', '506', '634', '159']
['14', '953', '353', '883', '889', '897', '280', '765', '863', '590', '206', '632', '688', '594', '538', '212', '554', '651', '857', '699', '399', '567', '452', '812', '36', '304', '9', '934', '787', '454', '645', '830']
['681', '155', '149', '683', '824', '157', '574', '642', '621', '820', '914', '785', '123', '112', '690', '592', '879', '665', '828', '666', '961', '231', '83', '210', '268', '521', '241', '669', '468', '103', '788', '199']
['771', '382', '915', '258', '456', '90', '287', '179', '188', '31', '137', '731', '802', '844', '870', '75', '59', '955', '849', '394', '579', '323', '366', '246', '160', '807', '183', '659', '490', '694', '890', '770']
['680', '140', '599', '151', '68', '689', '440', '753', '352', '236', '751', '620', '646', '214', '540', '448', '285', '76', '101', '332', '735', '810', '618', '375', '936', '734', '402', '414', '420', '667', '909', '522']
['528', '475', '46', '693', '251', '956', '333', '302', '845', '383', '878', '67', '318', '224', '578', '918', '117', '509', '230', '782', '859', '730', '792', '654', '474', '608', '144', '175', '647', '205', '239', '811']
['282', '299', '413', '309', '722', '624', '249', '250', '780', '97', '166', '184', '583', '799', '541', '370', '884', '757', '7', '148', '49', '707', '61', '674', '697', '598', '272', '331', '773', '720', '919', '294']
['127', '602', '582', '513', '900', '243', '864', '229', '873', '657', '15', '427', '257', '173', '244', '725', '616', '386', '222', '350', '330', '933', '612', '911', '54', '685', '604', '99', '585', '357', '111', '772']
['66', '893', '77', '606', '187', '728', '436', '434', '306', '742', '392', '283', '288', '906', '45', '455', '705', '663', '418', '520', '926', '819', '638', '622', '180', '923', '80', '387', '546', '679', '769', '33']
['800', '499', '403', '840', '715', '44', '547', '102', '178', '766', '26', '752', '747', '227', '854', '600', '861', '628', '152', '256', '423', '435', '216', '779', '755', '135', '565', '601', '284', '553', '314', '12']
['855', '52', '518', '877', '340', '443', '951', '432', '542', '266', '106', '534', '326', '336', '263', '576', '201', '526', '310', '96', '395', '11', '809', '478', '247', '823', '856', '648', '156', '790', '470', '650']
['672', '182', '637', '128', '519', '393', '484', '469', '916', '717', '943', '371', '308', '903', '825', '623', '131', '808', '492', '322', '162', '147', '937', '428', '134', '682', '277', '153', '644', '325', '190', '539']
['177', '497', '544', '417', '695', '673', '560', '587', '818', '372', '793', '871', '794', '171', '511', '126', '341', '529', '658', '503', '225', '88', '441', '566', '719', '796', '37', '708', '635', '670', '165', '373']
['696', '228', '313', '562', '167', '756', '626', '10', '93', '47', '368', '407', '72', '82', '723', '450', '581', '759', '315', '508', '260', '832', '763', '113', '274', '472', '207', '271', '569', '950', '636', '125']
['459', '750', '401', '18', '39', '846', '24', '944', '433', '150', '41', '931', '415', '377', '429', '290', '932', '462', '806', '946', '912', '611', '504', '791', '922', '776', '523', '743', '901', '186', '34', '181']
['170', '557', '335', '777', '449', '242', '589', '329', '388', '28', '202', '442', '525', '438', '196', '486', '189', '930', '591', '758', '801', '410', '822', '960', '898', '532', '342', '662', '232', '739', '161', '586']
['169', '514', '754', '248', '744', '346', '789', '858', '545', '235', '305', '481', '163', '862', '116', '892', '404', '841', '380', '913', '87', '362', '213', '48', '259', '139', '767', '868', '910', '714', '711', '686']
['21', '411', '570', '426', '0', '703', '798', '852', '687', '905', '176', '907', '289', '238', '572', '55', '378', '774', '729', '577', '311', '843', '498', '927', '652', '29', '957', '130', '255', '385', '692']
['460', '952', '409']
